100
0 38 2 60 6 93 6 68 24 36 9 7 36 20 16 81 45 98 28 20 31 94 48 75 64 32 86 83 21 16 53 16 7 7 29 65 53 35 34 29 71 95 36 59 67 4 40 64 54 21 85 85 15 33 61 79 17 99 63 90 68 68 7 75 75 88 40 28 23 26 57 46 73 45 5 40 2 97 5 56 18 42 94 33 27 55 65 96 6 28 86 74 96 45 49 23 33 42 4 8 
38 0 6 42 59 11 34 13 9 91 21 79 85 15 13 12 22 78 8 29 58 47 55 6 92 57 81 78 99 85 86 19 51 93 13 62 56 48 75 17 39 96 97 25 64 10 89 86 40 50 67 50 97 23 8 41 80 89 19 31 27 58 50 78 3 64 40 59 64 15 77 55 63 26 80 27 36 22 14 28 24 33 30 73 56 38 14 88 27 86 19 54 96 22 32 99 38 72 10 2 
2 6 0 3 65 90 82 53 12 96 33 36 30 63 61 38 1 75 27 81 13 98 87 9 20 72 60 58 96 71 12 36 10 70 91 28 60 73 81 24 22 67 12 4 30 73 42 84 0 21 17 14 72 4 75 92 76 36 3 25 7 15 61 69 37 4 49 49 29 31 73 51 98 37 55 80 10 50 16 63 23 33 77 95 90 52 40 18 88 95 43 47 62 56 69 0 60 18 49 90 
60 42 3 0 12 1 84 75 51 0 38 26 86 15 22 76 19 14 94 60 9 38 59 23 94 28 23 7 99 25 49 52 0 42 56 64 43 40 39 46 92 77 73 78 44 47 6 16 13 1 76 22 91 87 97 37 68 21 96 67 46 45 71 98 88 27 62 83 19 2 30 64 31 55 42 28 54 1 44 67 2 72 41 45 59 38 34 27 11 31 46 9 76 18 7 16 97 22 0 69 
6 59 65 12 0 27 35 43 28 31 62 82 3 3 27 63 93 62 90 5 45 37 14 21 7 74 90 56 96 42 25 24 76 10 31 65 38 19 60 18 50 22 1 54 77 80 69 22 94 59 79 39 48 46 13 55 20 55 64 68 97 89 92 73 52 75 90 42 46 50 60 97 24 13 3 53 46 72 75 92 31 55 84 32 1 97 39 73 4 3 93 1 45 37 26 97 12 16 39 11 
93 11 90 1 27 0 95 63 35 22 55 18 29 39 50 30 36 42 55 40 45 0 93 90 37 19 39 2 35 78 13 53 30 73 47 47 36 42 10 71 65 65 41 94 57 44 77 45 86 84 86 31 85 31 74 74 3 13 76 38 92 41 44 74 14 91 73 50 86 35 73 3 52 15 49 9 59 26 55 45 63 93 28 0 24 2 74 27 16 51 18 60 44 14 86 59 57 59 9 43 
6 34 82 84 35 95 0 9 74 63 6 89 56 34 89 32 37 64 60 5 67 30 65 11 44 3 70 53 62 32 97 8 67 95 6 17 91 66 78 18 29 84 7 37 70 49 70 7 13 82 12 32 12 29 95 8 32 18 13 46 2 10 6 69 6 65 38 49 31 16 19 13 52 79 50 22 28 20 82 93 54 46 77 18 28 72 26 60 42 40 59 44 2 65 13 60 82 51 10 14 
68 13 53 75 43 63 9 0 2 80 33 56 26 62 75 6 35 53 67 77 45 78 22 48 95 87 60 78 91 22 44 10 4 23 34 16 52 32 57 6 64 42 63 42 5 90 49 40 43 68 69 89 46 43 89 41 31 1 71 22 24 15 84 28 38 70 44 43 54 53 49 18 96 12 61 1 2 10 93 98 78 62 39 76 58 80 69 89 81 41 63 5 56 99 33 95 70 30 90 24 
24 9 12 51 28 35 74 2 0 25 4 96 40 43 24 50 23 93 39 5 86 54 10 43 53 96 90 23 78 80 0 61 19 95 93 23 51 77 30 69 55 86 17 95 82 93 45 5 38 36 62 25 42 25 20 95 21 62 71 99 94 71 12 65 18 57 89 21 35 71 90 90 9 59 37 91 4 34 97 42 22 11 67 64 36 39 11 9 1 82 60 95 5 25 61 75 82 2 96 17 
36 91 96 0 31 22 63 80 25 0 96 4 86 15 68 75 55 80 84 56 14 97 52 72 22 65 47 4 67 44 22 92 82 81 74 32 30 0 85 12 75 81 17 62 97 85 37 52 17 73 60 32 70 64 56 92 29 3 97 48 99 71 40 82 4 15 66 86 67 51 99 95 85 16 57 82 53 46 86 71 19 98 55 42 63 11 86 44 66 83 93 66 6 33 48 63 0 66 49 20 
