150
0 55 95 51 88 61 74 42 22 37 55 79 11 47 23 41 22 23 32 22 60 95 85 65 4 25 34 88 76 68 22 12 75 17 64 64 31 38 58 5 27 66 37 91 13 12 32 35 87 64 9 47 12 47 65 16 24 99 56 0 19 79 13 95 48 29 11 31 19 21 89 47 87 26 38 52 38 70 88 77 86 49 24 98 96 89 66 73 88 75 73 60 6 38 55 6 19 18 38 39 39 79 86 27 5 76 31 95 98 71 72 84 21 96 35 69 38 53 42 26 28 68 38 86 58 93 93 78 11 83 17 51 62 55 30 19 31 13 14 81 85 38 17 6 86 52 27 24 58 22 
55 0 90 41 25 48 87 18 78 50 1 95 53 15 2 83 34 85 97 0 66 34 90 84 40 76 88 19 53 46 41 8 85 83 49 10 84 88 80 62 39 33 10 92 48 64 28 34 50 77 86 68 11 76 4 51 4 93 22 57 91 64 65 28 99 67 90 83 55 22 98 94 55 8 39 55 72 67 41 74 44 27 43 55 3 47 58 8 92 80 17 36 96 83 16 48 2 7 31 57 29 81 4 37 89 43 44 14 62 86 40 6 13 83 13 69 83 23 29 27 3 46 15 52 81 32 52 35 91 35 45 72 17 49 9 58 44 54 24 58 92 65 16 5 48 29 26 83 52 7 
95 90 0 26 11 87 10 63 75 1 51 20 74 68 21 35 26 17 89 51 75 81 16 91 39 16 72 17 0 76 25 63 83 31 41 47 70 4 62 45 5 13 65 31 81 38 67 60 55 8 11 82 42 79 25 33 95 97 50 47 73 27 62 9 58 56 8 29 60 70 26 17 84 92 1 17 82 68 77 38 28 40 20 22 19 46 55 67 95 58 66 21 85 81 82 96 37 90 25 49 60 51 66 96 95 67 14 78 87 43 68 68 84 88 90 55 86 98 74 34 8 41 55 45 22 37 41 11 79 66 12 39 70 78 88 65 98 2 95 37 97 63 57 81 4 0 89 42 98 63 
51 41 26 0 3 30 72 97 41 51 63 53 43 85 84 31 3 34 85 98 23 82 14 81 16 70 81 5 12 31 20 41 89 77 76 44 7 1 41 1 52 57 6 47 42 42 78 97 76 63 48 52 46 62 33 62 32 14 19 96 45 39 89 86 16 66 82 76 67 24 77 71 33 35 19 27 78 97 25 6 13 73 58 59 87 91 73 71 57 92 67 54 31 9 40 0 75 23 76 94 99 53 65 32 40 84 59 18 34 36 77 47 61 35 58 48 79 31 71 36 23 91 43 6 0 83 6 75 58 34 21 57 39 86 41 80 23 53 98 57 89 27 56 51 63 14 51 94 45 23 
88 25 11 3 0 66 61 37 93 19 71 14 29 11 52 22 91 75 75 41 84 65 21 40 68 36 6 71 30 3 46 64 75 12 90 54 78 3 43 23 74 14 37 3 77 90 78 20 17 53 14 54 70 35 46 90 71 53 62 53 56 8 17 84 21 59 90 51 62 33 75 37 47 64 92 77 54 70 97 24 76 11 78 98 98 24 89 69 77 51 22 86 11 92 70 84 51 60 36 66 45 63 3 44 27 47 21 34 70 71 58 46 34 36 44 33 60 85 2 90 88 77 28 0 21 50 36 72 62 72 90 7 87 93 51 15 93 73 49 63 96 7 61 30 95 5 63 7 91 18 
61 48 87 30 66 0 27 68 92 89 92 83 48 80 28 0 95 21 25 96 36 21 55 97 51 50 55 15 57 98 33 7 29 32 84 61 0 64 81 92 53 73 27 2 5 56 54 0 77 79 48 66 0 3 63 3 53 18 70 63 68 55 70 98 87 6 59 87 70 92 32 76 65 59 78 23 15 84 75 45 63 24 11 15 27 26 70 33 97 41 96 65 96 66 63 84 72 74 71 95 66 55 71 84 15 1 7 82 85 82 79 0 6 42 15 86 69 37 19 18 78 15 83 75 33 47 59 57 73 82 52 40 90 23 76 5 24 83 39 61 17 19 61 76 13 28 62 82 66 33 
74 87 10 72 61 27 0 30 42 56 65 95 48 55 70 24 12 47 59 3 8 29 22 70 5 36 98 19 70 16 4 23 61 4 59 32 89 94 15 31 2 32 78 51 87 49 27 51 96 39 54 56 68 29 78 25 17 29 96 87 45 0 62 6 4 21 91 93 15 6 76 18 90 55 21 77 4 0 80 52 91 34 60 59 15 39 36 32 68 32 20 13 32 82 72 36 56 63 81 23 21 58 93 11 13 14 40 69 67 72 73 58 58 33 70 74 72 6 6 92 39 78 6 71 13 30 60 69 93 41 92 66 51 38 29 16 52 21 37 71 45 10 30 3 96 52 77 20 58 36 
42 18 63 97 37 68 30 0 48 46 26 93 64 78 31 93 46 35 66 84 7 11 94 89 66 42 41 44 63 51 80 76 1 46 99 22 26 0 7 74 46 33 67 10 11 50 55 58 86 73 94 45 84 40 86 50 83 79 46 46 30 78 74 31 25 25 5 51 25 12 77 23 46 97 33 9 47 40 19 85 13 13 82 49 54 68 51 89 47 98 87 30 28 13 61 5 38 19 8 63 83 86 86 81 35 71 91 34 11 10 20 76 76 2 77 82 23 28 71 70 78 58 0 7 71 14 12 61 85 73 24 68 59 62 50 94 85 41 28 48 3 0 24 31 55 1 13 78 81 36 
22 78 75 41 93 92 42 48 0 52 56 54 72 67 68 22 13 53 15 94 1 71 94 77 2 1 30 68 79 12 4 32 24 51 33 43 20 52 78 51 56 35 57 28 54 78 51 68 31 18 62 85 89 8 62 44 10 93 12 41 57 68 73 81 71 58 76 44 62 54 47 18 41 4 47 96 34 50 16 66 68 30 51 10 90 65 54 52 10 18 94 67 38 19 0 62 30 76 6 92 31 53 63 24 9 10 72 44 12 40 62 32 70 65 42 61 30 48 13 93 66 59 60 57 79 13 19 61 89 77 5 72 82 68 97 91 30 21 87 42 62 1 75 32 66 69 45 49 18 59 
37 50 1 51 19 89 56 46 52 0 41 68 81 23 88 30 67 19 4 6 13 66 8 40 50 26 10 48 27 28 7 21 16 77 28 10 79 47 26 93 8 68 13 90 43 2 72 10 21 28 17 34 46 77 75 97 55 37 45 83 17 4 56 33 33 84 95 64 84 22 10 92 90 23 34 33 25 59 96 98 87 65 33 34 94 60 83 49 49 80 84 66 84 41 99 69 77 95 86 61 69 96 54 59 19 40 44 45 99 92 43 39 57 28 73 3 40 56 53 89 36 37 7 72 30 7 93 8 54 79 69 23 75 75 34 95 16 30 92 67 75 35 6 32 16 79 88 8 87 41 
