20
0 59 76 56 49 39 44 31 1 27 90 23 67 92 10 10 7 86 79 97 
59 0 92 70 82 41 2 86 15 38 16 68 49 93 24 99 84 20 82 85 
76 92 0 67 17 70 77 24 8 56 73 88 44 17 58 78 58 13 17 74 
56 70 67 0 26 18 51 11 39 86 48 39 10 9 58 27 31 87 4 40 
49 82 17 26 0 38 18 5 51 35 31 54 69 25 7 47 96 58 58 87 
39 41 70 18 38 0 34 51 23 90 43 71 68 23 11 15 62 82 20 65 
44 2 77 51 18 34 0 77 89 48 64 86 59 42 45 79 78 79 83 54 
31 86 24 11 5 51 77 0 23 77 81 92 81 5 35 63 84 73 92 74 
1 15 8 39 51 23 89 23 0 47 36 10 26 13 0 28 2 57 96 25 
27 38 56 86 35 90 48 77 47 0 45 55 85 57 40 36 66 57 18 7 
90 16 73 48 31 43 64 81 36 45 0 14 88 22 35 75 27 70 94 9 
23 68 88 39 54 71 86 92 10 55 14 0 97 92 5 17 14 19 39 42 
67 49 44 10 69 68 59 81 26 85 88 97 0 18 4 33 27 28 53 41 
92 93 17 9 25 23 42 5 13 57 22 92 18 0 40 33 37 85 25 55 
10 24 58 58 7 11 45 35 0 40 35 5 4 40 0 54 53 82 93 93 
10 99 78 27 47 15 79 63 28 36 75 17 33 33 54 0 15 77 92 70 
7 84 58 31 96 62 78 84 2 66 27 14 27 37 53 15 0 30 17 57 
86 20 13 87 58 82 79 73 57 57 70 19 28 85 82 77 30 0 50 24 
79 82 17 4 58 20 83 92 96 18 94 39 53 25 93 92 17 50 0 11 
97 85 74 40 87 65 54 74 25 7 9 42 41 55 93 70 57 24 11 0 
