40
0 68 52 1 37 57 36 46 61 63 40 84 7 49 54 12 34 76 30 22 52 95 39 31 23 42 93 23 74 38 83 94 58 87 95 96 44 84 42 57 
68 0 41 7 36 48 19 22 76 50 44 28 45 36 60 68 78 5 43 52 43 79 98 53 66 94 49 63 78 43 20 77 30 14 84 66 14 4 88 90 
52 41 0 51 20 30 71 98 35 14 3 30 93 1 84 12 95 33 75 25 29 47 3 59 13 87 25 27 43 65 17 97 49 88 0 70 18 71 20 6 
1 7 51 0 77 20 95 24 6 70 50 35 70 5 46 83 44 23 11 88 88 80 85 89 68 38 59 39 9 32 45 47 55 81 31 84 54 78 9 60 
37 36 20 77 0 45 54 60 68 17 48 56 98 86 97 66 24 57 57 85 41 2 85 48 84 16 33 90 46 42 2 47 53 49 18 69 46 73 29 14 
57 48 30 20 45 0 59 40 28 16 77 69 19 62 18 55 30 3 97 77 45 99 24 50 0 43 19 46 68 0 60 10 82 34 51 98 53 10 90 34 
36 19 71 95 54 59 0 61 76 1 38 73 52 14 23 52 57 94 98 25 47 10 88 29 44 39 80 50 1 22 84 79 90 39 29 73 13 85 86 41 
46 22 98 24 60 40 61 0 85 94 77 84 5 65 13 1 4 45 51 5 68 87 37 58 27 66 83 40 51 69 33 90 97 48 82 88 91 78 40 76 
61 76 35 6 68 28 76 85 0 34 97 91 22 34 49 49 0 85 41 3 6 74 94 4 75 28 44 66 6 84 94 78 1 6 60 36 31 91 76 54 
63 50 14 70 17 16 1 94 34 0 14 90 68 8 46 43 88 90 61 94 26 55 25 28 61 85 16 44 28 44 99 5 69 96 57 80 43 9 91 27 
40 44 3 50 48 77 38 77 97 14 0 33 82 26 13 95 63 82 39 91 26 90 49 48 87 58 28 30 67 20 10 70 78 80 41 44 96 7 99 55 
84 28 30 35 56 69 73 84 91 90 33 0 45 87 15 32 97 43 15 65 15 77 87 93 57 29 38 5 88 89 13 75 42 54 95 74 60 63 17 49 
7 45 93 70 98 19 52 5 22 68 82 45 0 97 87 53 78 25 10 18 67 23 93 61 29 41 35 90 4 4 91 74 12 59 89 7 42 89 51 68 
49 36 1 5 86 62 14 65 34 8 26 87 97 0 8 69 45 43 11 49 48 2 23 12 61 64 19 3 6 70 23 14 83 86 67 93 88 72 33 15 
54 60 84 46 97 18 23 13 49 46 13 15 87 8 0 79 81 96 34 87 19 9 2 2 47 21 48 35 93 81 3 34 73 65 66 69 87 67 10 52 
12 68 12 83 66 55 52 1 49 43 95 32 53 69 79 0 65 65 62 11 47 65 45 72 82 63 94 69 82 4 22 65 9 92 66 78 87 98 81 31 
34 78 95 44 24 30 57 4 0 88 63 97 78 45 81 65 0 95 50 39 51 24 4 60 16 22 39 56 20 72 87 36 44 34 79 13 98 50 99 27 
76 5 33 23 57 3 94 45 85 90 82 43 25 43 96 65 95 0 10 88 79 49 24 76 35 55 41 33 5 40 13 88 88 69 18 30 26 28 29 30 
30 43 75 11 57 97 98 51 41 61 39 15 10 11 34 62 50 10 0 58 97 30 46 37 51 16 67 29 45 96 59 38 15 97 17 28 98 2 9 59 
22 52 25 88 85 77 25 5 3 94 91 65 18 49 87 11 39 88 58 0 73 22 88 40 19 57 20 18 60 81 29 9 11 28 7 38 43 37 17 15 
52 43 29 88 41 45 47 68 6 26 26 15 67 48 19 47 51 79 97 73 0 0 20 52 28 27 42 71 65 11 86 50 70 22 65 65 68 13 65 91 
95 79 47 80 2 99 10 87 74 55 90 77 23 2 9 65 24 49 30 22 0 0 26 60 93 91 78 14 5 43 57 78 57 49 33 12 28 89 13 20 
39 98 3 85 85 24 88 37 94 25 49 87 93 23 2 45 4 24 46 88 20 26 0 0 28 79 64 57 21 29 77 90 55 29 40 12 18 51 29 86 
31 53 59 89 48 50 29 58 4 28 48 93 61 12 2 72 60 76 37 40 52 60 0 0 59 5 21 77 56 51 15 51 74 59 57 65 24 70 67 90 
23 66 13 68 84 0 44 27 75 61 87 57 29 61 47 82 16 35 51 19 28 93 28 59 0 13 58 82 36 25 72 42 12 70 11 20 77 71 25 57 
42 94 87 38 16 43 39 66 28 85 58 29 41 64 21 63 22 55 16 57 27 91 79 5 13 0 28 65 27 53 22 12 57 65 87 1 98 63 93 99 
93 49 25 59 33 19 80 83 44 16 28 38 35 19 48 94 39 41 67 20 42 78 64 21 58 28 0 90 48 89 89 71 27 8 48 67 88 85 21 87 
23 63 27 39 90 46 50 40 66 44 30 5 90 3 35 69 56 33 29 18 71 14 57 77 82 65 90 0 58 7 47 77 86 30 96 67 65 2 3 33 
74 78 43 9 46 68 1 51 6 28 67 88 4 6 93 82 20 5 45 60 65 5 21 56 36 27 48 58 0 96 15 37 21 53 85 63 41 59 57 78 
38 43 65 32 42 0 22 69 84 44 20 89 4 70 81 4 72 40 96 81 11 43 29 51 25 53 89 7 96 0 95 81 84 1 91 59 50 28 24 78 
83 20 17 45 2 60 84 33 94 99 10 13 91 23 3 22 87 13 59 29 86 57 77 15 72 22 89 47 15 95 0 22 37 28 32 19 70 15 17 50 
94 77 97 47 47 10 79 90 78 5 70 75 74 14 34 65 36 88 38 9 50 78 90 51 42 12 71 77 37 81 22 0 39 43 87 67 84 83 35 70 
58 30 49 55 53 82 90 97 1 69 78 42 12 83 73 9 44 88 15 11 70 57 55 74 12 57 27 86 21 84 37 39 0 47 9 77 64 85 51 34 
87 14 88 81 49 34 39 48 6 96 80 54 59 86 65 92 34 69 97 28 22 49 29 59 70 65 8 30 53 1 28 43 47 0 77 22 44 89 63 0 
95 84 0 31 18 51 29 82 60 57 41 95 89 67 66 66 79 18 17 7 65 33 40 57 11 87 48 96 85 91 32 87 9 77 0 55 90 27 72 9 
96 66 70 84 69 98 73 88 36 80 44 74 7 93 69 78 13 30 28 38 65 12 12 65 20 1 67 67 63 59 19 67 77 22 55 0 18 85 21 21 
44 14 18 54 46 53 13 91 31 43 96 60 42 88 87 87 98 26 98 43 68 28 18 24 77 98 88 65 41 50 70 84 64 44 90 18 0 85 28 14 
84 4 71 78 73 10 85 78 91 9 7 63 89 72 67 98 50 28 2 37 13 89 51 70 71 63 85 2 59 28 15 83 85 89 27 85 85 0 1 39 
42 88 20 9 29 90 86 40 76 91 99 17 51 33 10 81 99 29 9 17 65 13 29 67 25 93 21 3 57 24 17 35 51 63 72 21 28 1 0 71 
57 90 6 60 14 34 41 76 54 27 55 49 68 15 52 31 27 30 59 15 91 20 86 90 57 99 87 33 78 78 50 70 34 0 9 21 14 39 71 0 
