70
0 94 54 3 52 84 38 77 63 62 91 77 43 72 78 95 5 40 86 92 36 38 84 86 21 3 5 85 27 65 64 71 11 18 74 63 3 65 40 18 27 83 96 23 56 74 18 61 66 4 53 54 94 89 93 15 93 50 53 72 67 17 95 78 87 21 41 42 86 33 
94 0 17 57 37 25 83 7 86 2 12 91 8 6 81 1 74 26 51 27 98 70 96 93 48 35 14 89 78 1 75 39 67 44 48 56 69 31 63 7 85 75 50 94 34 83 95 8 9 99 87 7 69 83 52 18 18 67 59 48 20 34 87 87 30 35 43 99 19 58 
54 17 0 61 98 68 44 94 28 6 45 15 65 66 50 18 84 20 37 96 69 57 82 56 96 13 44 91 64 63 49 23 67 35 84 66 55 80 12 83 86 9 98 52 75 0 70 60 21 59 8 90 16 90 98 64 3 42 55 68 5 56 43 25 92 79 91 47 59 55 
3 57 61 0 50 39 34 72 51 7 31 59 49 99 50 47 63 5 90 70 73 47 26 16 72 70 95 15 70 7 70 53 5 34 38 55 26 72 27 77 31 58 89 80 57 91 28 72 96 70 94 22 69 72 90 42 43 38 9 65 45 80 70 50 66 8 5 92 33 84 
52 37 98 50 0 51 54 25 75 2 47 69 76 16 41 67 10 36 5 20 1 2 0 71 4 18 32 61 63 65 45 37 81 39 0 78 42 6 55 17 60 2 38 37 19 31 4 29 68 61 49 21 63 1 45 67 72 77 28 35 94 25 72 27 64 24 58 6 82 13 
84 25 68 39 51 0 96 83 68 16 96 70 90 11 23 35 78 95 64 58 30 10 35 54 37 99 30 95 57 12 61 84 55 29 1 86 16 98 70 84 66 18 6 56 30 30 91 60 25 7 71 8 17 6 14 55 6 45 2 15 9 63 52 64 92 53 51 60 51 73 
38 83 44 34 54 96 0 70 34 11 77 5 19 47 11 33 2 69 30 56 85 40 72 37 56 16 90 7 77 94 32 26 16 76 29 94 49 15 64 83 26 94 88 97 41 52 30 95 21 13 3 58 53 75 47 9 92 90 69 21 36 53 47 52 29 28 46 31 43 11 
77 7 94 72 25 83 70 0 45 80 14 0 91 67 76 38 28 20 28 49 41 64 3 88 16 84 68 15 67 12 78 34 85 35 41 4 85 0 5 82 32 71 82 23 90 10 62 18 30 42 20 71 7 75 11 75 59 80 90 79 44 68 13 29 55 54 85 92 54 90 
63 86 28 51 75 68 34 45 0 2 18 42 25 25 69 89 53 80 21 95 59 65 64 72 46 19 78 32 64 84 74 90 23 36 51 85 39 23 61 13 77 79 7 2 57 76 91 62 57 12 57 16 29 21 41 76 93 19 60 57 4 34 47 27 22 99 64 14 74 25 
62 2 6 7 2 16 11 80 2 0 61 85 41 43 6 34 71 51 53 31 60 9 65 8 88 88 59 52 54 85 29 81 36 86 20 41 51 36 90 79 60 4 64 1 47 22 87 18 26 93 49 86 2 66 46 43 54 57 47 8 42 77 42 30 15 62 72 18 50 14 
91 12 45 31 47 96 77 14 18 61 0 84 52 99 3 51 42 9 8 42 70 51 19 12 81 86 26 5 4 77 72 6 40 90 71 4 8 11 56 95 29 53 32 82 5 35 85 99 44 93 41 14 96 60 26 30 98 5 35 55 34 59 61 74 50 84 78 10 96 87 
77 91 15 59 69 70 5 0 42 85 84 0 83 86 51 62 16 49 19 4 4 53 63 17 27 65 2 57 27 98 96 85 75 89 74 87 38 99 83 35 68 73 26 3 60 77 65 28 78 84 32 35 89 48 52 68 13 54 26 41 52 74 26 80 15 0 19 6 51 2 
