60
0 31 79 19 55 81 41 60 53 8 26 75 2 21 77 28 28 89 30 92 2 65 52 43 93 4 78 39 12 52 50 89 84 82 8 39 63 1 51 68 61 78 43 15 99 73 43 80 14 74 72 68 39 76 11 84 80 41 23 45 
31 0 34 30 60 94 21 75 96 72 44 9 2 39 25 54 64 68 86 31 42 10 51 34 87 15 18 19 56 94 64 2 72 98 32 32 45 53 7 93 78 3 2 80 43 27 86 59 96 72 42 90 83 94 24 22 9 95 41 17 
79 34 0 61 56 52 45 1 58 52 46 36 56 49 68 51 76 55 62 24 27 5 67 62 99 43 84 60 38 26 77 79 84 97 40 92 2 85 46 12 90 92 48 98 41 68 49 70 23 63 46 3 68 65 65 19 9 50 79 99 
19 30 61 0 6 71 8 60 57 54 24 99 99 72 97 92 93 98 14 16 61 61 19 30 78 85 1 39 87 81 39 67 90 18 83 48 89 91 61 98 46 85 97 45 10 46 89 3 44 4 71 6 17 91 88 95 28 89 35 67 
55 60 56 6 0 69 65 85 60 26 36 58 63 85 55 25 32 45 28 28 49 52 86 66 43 74 13 23 16 0 90 38 26 76 3 22 45 68 8 5 46 96 16 9 81 71 35 65 16 15 94 17 67 80 35 62 7 49 85 23 
81 94 52 71 69 0 50 0 36 10 6 34 6 74 44 40 45 31 5 14 98 51 31 18 84 19 80 43 68 18 18 69 45 31 45 49 0 48 49 88 58 7 23 65 33 67 5 79 50 62 45 0 66 28 18 2 47 51 45 15 
41 21 45 8 65 50 0 46 82 17 35 41 76 58 58 10 77 63 41 27 77 86 27 95 66 98 97 14 49 94 81 18 57 18 84 4 53 52 50 35 69 37 28 97 95 86 59 72 1 0 51 79 38 31 26 5 29 24 71 78 
60 75 1 60 85 0 46 0 84 86 63 5 24 92 3 19 78 62 44 80 15 95 11 5 26 37 10 7 13 81 85 84 86 33 64 9 18 48 37 2 34 52 60 58 44 63 30 75 77 74 7 92 21 70 50 0 7 60 7 73 
53 96 58 57 60 36 82 84 0 30 55 7 34 15 18 31 78 48 6 7 74 65 52 47 35 2 99 94 14 59 67 8 4 28 92 86 1 85 87 22 67 42 82 2 9 0 33 87 0 91 46 26 56 98 73 43 0 25 37 67 
8 72 52 54 26 10 17 86 30 0 13 25 59 95 27 20 95 12 7 47 55 6 73 63 4 99 6 57 76 95 24 60 4 51 0 42 71 78 81 29 96 94 54 7 90 33 28 37 97 87 85 52 93 10 67 50 61 73 59 37 
26 44 46 24 36 6 35 63 55 13 0 76 94 97 35 84 30 15 74 79 3 11 31 48 21 98 50 35 23 61 72 95 96 22 72 87 23 39 49 3 91 92 31 86 89 67 22 71 82 96 50 37 7 33 38 81 83 88 68 58 
75 9 36 99 58 34 41 5 7 25 76 0 78 73 47 19 92 69 42 26 18 92 64 77 77 54 58 12 94 26 70 96 19 76 47 85 54 84 23 71 71 17 32 1 42 79 73 86 1 15 12 19 60 28 96 89 82 7 2 77 
2 2 56 99 63 6 76 24 34 59 94 78 0 10 81 76 42 54 62 43 70 75 62 82 3 10 71 86 17 73 15 51 98 88 7 50 61 97 5 18 15 83 46 49 93 79 26 35 34 88 30 56 15 92 38 71 3 61 9 20 
21 39 49 72 85 74 58 92 15 95 97 73 10 0 97 21 73 75 8 7 63 39 15 31 31 5 2 86 66 63 59 53 87 34 90 3 17 78 81 50 70 76 97 98 70 46 19 43 21 27 2 37 66 17 20 50 22 74 88 40 
77 25 68 97 55 44 58 3 18 27 35 47 81 97 0 7 49 6 50 71 85 52 60 4 21 80 54 95 54 94 35 91 42 81 67 76 70 46 27 36 7 29 25 44 32 12 3 81 70 5 4 56 57 64 12 30 44 18 25 50 
28 54 51 92 25 40 10 19 31 20 84 19 76 21 7 0 90 65 4 13 70 9 21 79 73 33 9 70 51 86 20 63 98 14 70 92 74 0 8 33 10 61 99 1 39 61 24 81 26 29 94 48 90 67 27 63 0 88 85 3 
28 64 76 93 32 45 77 78 78 95 30 92 42 73 49 90 0 82 59 23 63 6 72 53 73 51 68 74 40 54 29 14 12 96 39 84 85 57 30 27 35 62 31 74 46 88 52 91 70 63 66 33 69 38 86 95 90 7 21 30 
