30
0 67 48 3 95 7 34 58 12 69 22 21 55 67 0 29 83 91 7 23 56 86 50 80 55 83 79 49 8 9 
67 0 76 60 59 23 19 45 81 31 66 3 5 21 22 5 51 5 96 10 29 5 49 31 85 56 14 64 5 22 
48 76 0 1 30 42 24 2 88 5 33 54 8 90 28 30 95 79 88 44 41 17 49 90 0 34 98 15 50 4 
3 60 1 0 77 56 15 2 58 55 7 44 61 68 34 89 50 82 20 38 26 62 7 75 4 8 61 3 75 11 
95 59 30 77 0 17 93 4 19 52 11 78 48 72 46 82 14 49 64 34 87 42 48 95 69 5 55 30 60 30 
7 23 42 56 17 0 50 49 91 21 53 2 0 1 27 98 36 41 99 52 75 39 47 24 34 16 81 41 99 41 
34 19 24 15 93 50 0 29 69 48 2 75 51 54 76 78 5 64 19 4 69 46 43 16 22 29 32 3 70 31 
58 45 2 2 4 49 29 0 36 46 68 38 21 19 93 49 49 98 66 20 54 35 67 98 51 89 79 35 93 50 
12 81 88 58 19 91 69 36 0 38 20 99 77 41 70 22 91 20 72 9 40 26 44 59 76 47 1 56 82 94 
69 31 5 55 52 21 48 46 38 0 90 76 45 19 70 16 41 13 88 13 22 80 91 66 40 68 13 41 76 47 
22 66 33 7 11 53 2 68 20 90 0 91 40 51 10 62 67 3 75 7 68 97 88 60 15 28 80 28 21 8 
21 3 54 44 78 2 75 38 99 76 91 0 76 47 54 38 9 74 42 85 81 10 34 69 22 50 49 2 78 22 
55 5 8 61 48 0 51 21 77 45 40 76 0 27 61 4 65 70 78 59 7 12 22 42 33 44 92 83 99 22 
67 21 90 68 72 1 54 19 41 19 51 47 27 0 69 39 69 34 62 48 94 69 12 68 11 45 12 55 80 11 
0 22 28 34 46 27 76 93 70 70 10 54 61 69 0 33 69 68 68 31 68 14 1 80 82 64 26 46 72 58 
29 5 30 89 82 98 78 49 22 16 62 38 4 39 33 0 69 12 54 89 44 75 55 97 55 89 13 33 35 85 
83 51 95 50 14 36 5 49 91 41 67 9 65 69 69 69 0 32 49 99 73 45 26 28 42 33 17 7 19 53 
91 5 79 82 49 41 64 98 20 13 3 74 70 34 68 12 32 0 22 82 75 95 27 1 76 21 86 45 28 5 
7 96 88 20 64 99 19 66 72 88 75 42 78 62 68 54 49 22 0 82 9 93 78 88 46 6 9 32 51 89 
23 10 44 38 34 52 4 20 9 13 7 85 59 48 31 89 99 82 82 0 35 12 44 65 52 42 23 13 26 74 
56 29 41 26 87 75 69 54 40 22 68 81 7 94 68 44 73 75 9 35 0 75 61 26 92 66 68 67 79 94 
86 5 17 62 42 39 46 35 26 80 97 10 12 69 14 75 45 95 93 12 75 0 14 63 72 7 29 92 74 60 
50 49 49 7 48 47 43 67 44 91 88 34 22 12 1 55 26 27 78 44 61 14 0 28 49 46 87 30 38 61 
80 31 90 75 95 24 16 98 59 66 60 69 42 68 80 97 28 1 88 65 26 63 28 0 14 82 33 1 64 24 
55 85 0 4 69 34 22 51 76 40 15 22 33 11 82 55 42 76 46 52 92 72 49 14 0 16 57 13 69 22 
83 56 34 8 5 16 29 89 47 68 28 50 44 45 64 89 33 21 6 42 66 7 46 82 16 0 88 89 8 57 
79 14 98 61 55 81 32 79 1 13 80 49 92 12 26 13 17 86 9 23 68 29 87 33 57 88 0 84 90 98 
49 64 15 3 30 41 3 35 56 41 28 2 83 55 46 33 7 45 32 13 67 92 30 1 13 89 84 0 79 95 
8 5 50 75 60 99 70 93 82 76 21 78 99 80 72 35 19 28 51 26 79 74 38 64 69 8 90 79 0 7 
9 22 4 11 30 41 31 50 94 47 8 22 22 11 58 85 53 5 89 74 94 60 61 24 22 57 98 95 7 0 
