130
0 25 4 0 22 55 68 23 55 66 1 80 21 69 65 88 42 95 2 69 12 34 4 51 8 77 42 24 36 0 96 53 77 0 5 99 7 25 22 14 44 76 94 65 97 12 6 40 7 8 61 72 94 17 75 2 94 69 79 82 69 75 87 98 27 45 97 86 70 72 0 14 0 46 32 97 58 38 89 18 98 50 42 92 19 17 46 13 86 77 48 8 52 87 6 31 32 56 17 3 80 17 69 80 64 53 29 74 91 19 92 41 21 34 33 41 3 80 6 42 9 6 2 62 94 60 45 26 16 63 
25 0 32 51 28 48 4 10 23 48 29 67 89 2 2 23 43 5 55 2 99 64 8 1 78 2 62 76 81 30 39 62 79 23 13 59 72 70 69 47 18 98 14 59 53 16 82 96 74 89 50 25 6 59 27 36 13 89 12 46 71 3 9 50 27 74 10 99 96 79 46 14 30 60 26 35 29 60 31 55 50 34 80 8 45 59 44 10 48 9 57 20 12 66 22 39 92 32 90 89 64 36 55 46 49 81 81 30 42 64 37 44 98 17 4 95 77 0 6 77 9 63 49 22 81 72 61 25 56 52 
4 32 0 22 70 41 55 3 71 49 68 60 93 18 78 49 66 7 50 72 36 59 87 86 81 68 10 95 93 18 47 60 43 39 34 13 81 89 17 4 39 37 65 84 7 95 34 73 54 84 97 90 43 84 28 77 52 90 72 98 9 71 10 4 62 44 17 43 33 86 0 24 75 17 9 35 12 95 60 66 79 58 56 74 42 37 3 47 27 75 45 36 98 7 92 61 51 10 56 36 48 56 61 76 73 22 63 37 17 23 3 48 33 12 22 76 49 26 75 76 53 72 65 4 79 57 65 82 19 21 
0 51 22 0 48 55 5 11 93 74 86 48 22 20 12 97 96 61 23 71 90 28 43 7 32 74 16 97 56 36 71 26 8 53 10 56 8 15 19 1 90 5 2 12 25 14 9 73 28 84 96 70 65 91 77 97 65 93 47 21 81 70 0 41 23 10 97 31 25 16 85 67 74 39 80 99 53 41 25 33 78 21 3 43 13 32 92 30 78 39 4 59 9 4 1 84 14 50 16 39 19 53 7 93 92 39 92 97 32 69 83 62 91 86 57 56 19 50 86 49 41 90 60 3 94 61 87 8 64 55 
22 28 70 48 0 4 50 72 54 34 42 37 97 33 23 6 89 94 56 75 43 50 18 4 53 12 17 92 73 33 0 25 16 60 84 44 65 86 17 71 20 59 8 17 44 31 76 85 78 32 60 73 34 30 77 39 95 47 32 68 80 32 93 49 44 29 45 61 15 14 32 35 25 40 5 69 24 81 54 2 65 67 75 52 49 5 91 44 4 75 12 84 59 57 85 4 38 31 17 53 97 50 41 23 42 98 44 66 79 99 20 96 18 48 48 67 5 40 12 9 67 76 45 27 86 83 83 24 14 0 
55 48 41 55 4 0 21 31 63 52 82 36 48 0 36 49 19 41 41 83 2 8 12 47 35 98 30 70 74 96 71 56 60 25 79 46 70 0 77 86 52 59 22 53 11 58 2 83 51 95 66 53 3 30 52 91 80 35 61 55 83 84 63 43 10 43 42 32 95 71 70 0 31 44 5 94 54 59 77 5 54 96 10 9 78 63 0 59 50 14 66 33 50 29 29 12 24 71 97 72 42 67 72 25 64 77 72 18 88 49 24 42 97 86 51 76 49 4 87 51 70 53 85 72 34 66 37 59 37 34 
68 4 55 5 50 21 0 81 88 72 82 12 14 80 50 17 8 0 73 95 3 95 0 40 20 34 6 57 93 95 43 76 79 96 31 88 66 15 69 54 87 3 18 53 35 68 23 43 20 48 90 24 44 90 16 64 77 23 21 70 70 64 99 49 12 82 37 30 98 58 84 37 62 54 43 97 23 18 93 95 66 35 71 10 26 88 26 3 11 99 25 81 15 76 31 28 59 20 10 9 31 95 46 93 49 41 42 24 59 35 20 26 71 91 88 49 31 67 4 42 66 81 76 82 58 59 62 69 79 72 
23 10 3 11 72 31 81 0 97 29 85 17 7 8 61 48 9 92 15 13 87 81 47 63 15 57 74 29 26 53 54 4 16 73 80 23 94 50 21 44 32 59 61 39 19 74 87 29 19 54 94 58 88 41 73 3 98 47 85 76 52 39 80 20 12 13 44 59 15 65 3 47 76 16 87 96 43 26 77 14 81 71 24 21 65 97 24 63 96 61 40 48 0 72 69 65 37 13 24 53 30 79 0 59 47 39 7 42 18 84 56 51 55 32 72 20 29 48 36 77 10 28 26 62 52 47 27 90 12 3 
55 23 71 93 54 63 88 97 0 57 96 33 8 52 65 32 24 47 80 12 24 42 40 2 5 93 1 84 35 65 88 30 60 22 77 65 4 64 78 81 21 74 14 81 78 31 65 3 78 98 15 55 40 8 57 97 53 11 82 88 76 70 70 36 92 47 54 49 64 32 30 37 6 96 19 85 27 84 40 6 34 7 13 75 15 22 24 68 33 58 8 10 28 78 98 73 78 52 74 42 36 4 79 43 0 50 80 27 87 72 85 21 79 98 48 95 21 73 15 6 31 76 16 12 54 67 37 32 71 11 
66 48 49 74 34 52 72 29 57 0 7 84 17 38 34 65 33 7 38 1 14 22 77 82 86 83 1 23 68 73 86 94 33 53 0 36 72 9 23 70 4 82 6 21 20 93 87 54 0 77 7 66 51 84 1 37 67 2 12 87 27 98 82 60 3 82 48 27 91 71 50 96 53 56 69 74 1 56 80 54 86 87 20 37 23 21 27 42 76 39 30 3 38 12 64 93 46 12 21 90 36 71 86 89 79 7 15 81 16 95 35 2 34 7 91 57 29 18 52 57 10 82 60 0 46 24 93 92 89 14 
