80
0 83 10 6 32 39 7 88 16 3 14 56 70 95 8 10 93 0 80 80 40 56 60 92 58 58 59 47 85 26 71 58 61 33 16 94 24 23 82 93 79 48 49 49 95 9 60 89 9 92 69 49 48 30 42 59 40 53 6 25 31 29 36 93 62 4 87 39 80 21 32 59 69 81 8 65 90 20 6 51 
83 0 53 13 57 47 72 98 0 30 75 31 59 63 24 74 68 63 13 48 84 45 59 6 78 67 23 20 40 81 71 5 8 76 18 66 23 43 16 23 73 43 7 85 59 31 59 79 95 24 79 31 69 38 89 99 57 64 19 97 45 42 2 54 19 73 72 94 16 40 70 41 83 77 78 94 60 37 73 55 
10 53 0 34 42 80 33 0 45 4 97 90 99 0 96 18 25 68 64 41 8 34 34 44 11 13 38 72 2 64 79 16 68 70 50 11 51 36 11 48 40 8 90 39 60 87 9 85 7 26 78 68 60 13 12 24 26 2 48 28 18 79 96 87 50 47 98 53 35 9 53 27 69 43 67 82 82 28 67 42 
6 13 34 0 11 74 43 89 76 91 69 95 22 66 34 72 65 32 77 0 41 82 27 62 78 46 44 12 27 64 54 33 62 64 0 25 38 43 14 67 86 83 14 9 1 48 33 66 80 63 18 73 45 46 87 75 44 32 88 71 96 42 5 58 59 5 35 97 1 49 16 39 84 82 0 86 30 86 4 62 
32 57 42 11 0 75 22 65 7 10 37 55 4 42 65 63 99 0 13 52 1 29 44 85 64 44 23 94 30 80 9 31 3 48 78 24 75 52 89 82 14 78 89 18 20 54 34 72 54 47 24 55 28 20 93 92 65 16 39 47 48 0 79 51 48 9 27 24 13 17 58 27 47 48 97 20 54 31 92 9 
39 47 80 74 75 0 51 6 30 42 53 78 42 84 30 43 45 57 67 58 26 77 37 74 77 35 94 32 18 38 93 49 58 61 8 47 23 11 5 53 54 59 31 96 95 61 39 41 71 58 51 49 36 89 75 65 76 21 97 94 59 42 95 18 4 3 17 27 15 23 80 21 34 11 17 29 25 9 22 48 
7 72 33 43 22 51 0 43 46 22 89 58 65 85 76 69 88 45 96 55 68 28 76 54 91 46 84 68 7 58 16 26 84 66 86 51 91 59 94 89 81 84 47 46 69 75 67 9 21 15 65 41 43 93 96 35 91 32 3 98 42 72 77 27 90 63 78 33 74 73 22 7 9 70 6 78 97 73 39 18 
88 98 0 89 65 6 43 0 92 75 92 34 99 69 13 89 84 92 74 58 17 96 65 26 18 71 56 16 97 47 86 86 4 50 70 6 10 42 99 2 69 91 89 68 12 54 9 96 98 83 6 67 79 24 45 50 47 53 18 44 1 4 82 57 55 5 63 65 99 62 20 68 6 61 36 70 67 97 19 66 
16 0 45 76 7 30 46 92 0 31 93 85 88 28 42 43 85 5 60 84 20 32 52 78 45 40 48 13 37 67 31 69 45 64 32 46 95 46 95 80 77 41 65 65 69 8 60 54 65 73 90 37 57 42 67 3 34 16 68 23 35 99 92 32 15 24 79 11 70 74 43 0 15 8 65 36 68 78 42 86 
3 30 4 91 10 42 22 75 31 0 83 98 30 27 31 46 52 10 9 74 36 52 74 52 60 92 40 81 70 83 19 73 67 94 81 94 37 45 6 0 76 90 99 59 69 30 5 21 92 14 48 28 66 74 32 78 66 73 11 88 8 30 61 75 25 43 21 14 40 28 67 68 70 66 27 39 48 32 13 40 
