50
0 54 22 69 86 1 63 85 3 60 45 0 58 87 81 58 82 11 37 93 64 63 50 50 12 54 82 89 69 27 46 83 81 68 52 20 21 68 5 24 80 2 76 38 89 57 96 23 69 85 
54 0 48 19 83 61 73 17 2 42 96 48 77 78 16 82 50 38 50 7 14 82 9 91 20 98 48 68 21 69 53 90 54 1 9 90 14 34 7 16 76 4 64 5 34 33 87 36 23 89 
22 48 0 4 28 91 54 29 11 27 98 64 17 5 18 78 95 32 12 54 1 40 10 65 46 44 50 33 32 73 23 75 63 46 79 91 38 85 72 1 13 23 66 30 28 36 61 75 68 73 
69 19 4 0 87 60 36 89 45 69 63 68 44 26 67 76 69 57 13 94 58 26 17 76 9 97 12 70 72 33 43 53 54 57 93 93 69 30 83 15 99 98 35 95 76 2 23 97 59 37 
86 83 28 87 0 72 9 7 42 33 92 38 87 46 95 80 40 17 10 75 32 61 73 67 57 1 22 80 98 81 69 42 51 33 54 46 57 16 5 0 49 97 90 36 95 37 69 87 54 31 
1 61 91 60 72 0 40 28 34 39 61 4 33 13 89 39 11 46 55 68 98 5 17 88 93 12 26 62 0 80 94 14 19 39 54 25 93 94 5 27 85 18 83 18 31 72 10 94 19 65 
63 73 54 36 9 40 0 84 30 96 64 76 62 83 67 16 60 60 11 17 40 96 36 23 67 19 96 29 66 67 94 80 84 69 12 42 37 8 26 67 56 43 96 18 78 63 35 39 24 98 
85 17 29 89 7 28 84 0 94 82 54 41 62 91 10 74 33 47 34 12 66 90 55 62 61 33 78 96 24 54 46 33 70 92 77 9 58 93 49 4 27 3 45 90 94 7 16 80 54 3 
3 2 11 45 42 34 30 94 0 9 19 0 42 41 93 71 3 3 65 52 7 44 55 5 34 2 12 3 34 19 6 26 92 51 77 79 58 61 45 60 70 16 61 12 58 6 84 13 61 1 
60 42 27 69 33 39 96 82 9 0 57 93 38 1 44 15 80 2 77 77 15 47 46 28 60 56 34 96 69 95 49 34 15 46 58 93 78 85 31 65 45 40 10 84 41 7 99 73 61 76 
45 96 98 63 92 61 64 54 19 57 0 85 12 57 31 70 50 62 55 33 27 53 73 90 37 66 97 88 39 10 17 42 39 93 43 95 33 0 90 69 26 79 54 38 88 85 61 38 47 16 
0 48 64 68 38 4 76 41 0 93 85 0 96 67 9 92 15 42 92 5 11 71 36 17 61 25 2 22 63 2 91 87 81 12 83 50 71 46 16 70 0 44 86 48 12 47 40 27 41 85 
58 77 17 44 87 33 62 62 42 38 12 96 0 10 99 83 60 22 29 28 44 81 25 82 30 89 29 22 68 22 59 52 78 19 24 51 41 22 27 37 35 8 24 35 71 23 18 83 46 48 
87 78 5 26 46 13 83 91 41 1 57 67 10 0 17 26 59 10 0 38 47 35 46 71 70 17 46 41 53 44 41 17 87 22 6 12 86 36 18 72 34 47 69 36 7 38 14 66 48 15 
81 16 18 67 95 89 67 10 93 44 31 9 99 17 0 0 60 15 88 31 39 22 30 61 10 37 99 76 55 0 91 11 47 46 66 66 71 42 83 89 19 44 96 13 45 25 65 57 93 53 
58 82 78 76 80 39 16 74 71 15 70 92 83 26 0 0 62 26 35 97 15 6 42 63 19 87 40 36 44 33 89 85 70 68 4 15 5 12 64 71 76 13 80 52 10 35 97 72 13 85 
82 50 95 69 40 11 60 33 3 80 50 15 60 59 60 62 0 67 53 71 38 29 84 18 33 94 5 83 19 18 68 41 98 59 5 41 22 60 24 22 59 45 63 44 84 72 36 91 39 89 
11 38 32 57 17 46 60 47 3 2 62 42 22 10 15 26 67 0 70 90 11 81 35 26 77 72 51 14 63 42 3 77 72 26 27 71 31 20 28 70 84 50 78 89 23 45 51 88 86 73 
37 50 12 13 10 55 11 34 65 77 55 92 29 0 88 35 53 70 0 45 86 66 96 64 8 71 61 59 59 47 85 90 97 92 4 26 76 42 53 27 95 75 33 77 21 65 34 39 29 16 
93 7 54 94 75 68 17 12 52 77 33 5 28 38 31 97 71 90 45 0 39 50 52 24 27 73 89 13 12 70 82 97 37 17 29 20 60 85 16 14 0 12 6 57 5 89 18 76 1 73 
64 14 1 58 32 98 40 66 7 15 27 11 44 47 39 15 38 11 86 39 0 10 19 99 67 24 40 85 0 42 10 52 86 33 57 55 87 35 13 54 77 41 56 69 59 74 90 50 53 48 
