120
0 62 9 91 4 51 40 75 45 2 59 72 85 56 50 89 44 91 59 37 23 4 1 28 43 38 66 6 0 4 8 0 66 17 91 71 68 31 98 14 85 58 38 70 66 88 11 11 32 22 48 55 26 2 35 21 40 54 79 92 58 39 92 25 57 35 48 25 18 46 91 4 56 82 26 23 22 90 34 54 12 82 61 91 84 49 64 76 3 96 69 61 35 61 86 92 49 86 70 67 33 13 23 89 95 50 64 70 92 98 24 4 81 38 95 17 87 12 94 42 
62 0 3 43 76 42 88 25 28 58 45 13 71 68 55 19 70 19 89 62 18 65 19 51 55 66 20 94 78 14 36 86 29 92 82 6 34 70 83 14 80 28 28 3 49 35 74 71 54 63 34 24 81 53 27 36 19 48 31 50 14 19 36 44 11 70 2 45 92 85 12 24 66 92 28 15 27 2 38 33 18 72 58 51 77 37 87 49 85 70 99 52 42 87 96 53 58 98 51 2 35 63 27 1 55 55 68 34 9 7 67 79 31 77 30 9 15 70 58 52 
9 3 0 82 44 52 88 54 50 39 57 86 54 84 39 61 91 60 95 0 67 62 80 50 92 10 59 7 80 69 11 73 78 16 7 75 68 95 29 71 86 38 9 40 22 48 1 13 8 48 66 27 11 46 78 3 8 89 62 41 59 73 14 89 41 73 64 62 21 94 33 7 32 94 48 7 94 1 72 3 50 38 82 13 84 12 68 93 2 82 34 13 55 0 2 49 25 67 11 46 13 96 54 97 90 54 4 84 7 77 39 57 15 74 22 52 86 90 97 40 
91 43 82 0 35 56 29 60 75 92 7 88 88 13 85 30 67 42 14 74 19 6 84 86 80 6 90 18 49 87 59 73 22 12 53 57 20 34 18 95 26 25 35 14 38 21 96 57 15 11 83 86 69 19 72 1 78 15 19 27 2 78 52 77 43 6 34 15 92 52 11 19 29 46 85 19 19 82 76 86 45 12 72 66 31 97 67 9 12 86 88 66 17 41 43 12 99 78 27 43 82 90 62 12 89 0 31 8 34 60 47 79 72 19 97 55 16 64 65 80 
4 76 44 35 0 42 83 49 72 11 93 55 1 55 19 90 7 2 51 41 62 98 72 86 69 69 42 86 85 59 18 88 16 65 59 15 60 43 16 32 54 9 87 7 17 58 98 24 61 1 18 75 99 42 14 68 12 8 6 49 19 25 37 35 42 97 2 2 40 19 35 46 80 74 53 97 85 3 74 98 4 44 73 55 86 39 76 50 47 34 0 66 11 37 54 54 86 56 8 78 27 95 24 60 22 30 9 7 33 83 5 90 79 30 97 66 22 73 16 69 
51 42 52 56 42 0 25 44 50 34 23 30 81 99 90 3 81 99 10 67 35 67 57 14 98 6 32 72 80 1 41 40 69 29 63 27 23 89 24 26 75 47 56 56 98 98 60 80 49 22 99 84 90 8 51 40 14 83 12 46 84 5 86 6 87 2 85 10 91 9 88 18 8 96 26 7 94 86 39 44 61 38 80 51 46 31 43 60 15 7 7 51 12 45 9 99 47 95 62 90 4 2 60 13 99 87 72 93 25 11 89 86 1 70 89 47 1 84 59 68 
40 88 88 29 83 25 0 63 28 69 6 33 72 66 98 71 53 70 16 31 33 6 17 34 28 59 33 29 43 44 50 35 15 22 91 31 55 98 46 84 68 52 69 92 71 67 15 76 89 83 7 22 89 25 8 17 84 93 99 79 89 1 14 4 75 57 35 30 56 82 66 76 86 35 68 57 54 35 34 43 18 41 17 60 18 77 29 54 70 28 34 12 81 48 16 56 58 4 87 14 86 5 90 72 41 10 82 95 45 16 91 15 9 8 75 28 86 5 34 8 
75 25 54 60 49 44 63 0 45 62 41 31 20 83 55 61 45 89 8 42 5 99 57 67 8 33 47 46 90 81 6 75 50 79 94 71 20 70 98 65 84 91 48 4 26 3 65 71 45 26 13 2 25 22 69 85 55 16 31 97 98 90 73 0 69 19 71 89 89 21 54 74 12 2 30 90 57 48 61 2 74 26 5 99 48 26 37 56 43 68 53 93 10 78 45 79 98 16 20 39 89 26 65 53 28 96 43 38 44 56 92 18 82 49 69 82 76 6 90 71 
45 28 50 75 72 50 28 45 0 89 64 18 16 29 71 96 25 66 34 21 22 79 39 56 28 61 38 56 67 81 27 94 77 95 84 51 56 53 76 85 42 40 55 58 21 78 7 99 44 93 20 18 72 12 74 53 73 65 9 40 46 89 87 23 84 23 26 93 76 2 30 18 94 86 29 16 16 36 15 13 81 87 31 54 99 6 59 72 23 68 65 69 9 4 44 46 27 70 39 3 25 69 73 19 7 54 87 76 90 54 89 72 42 20 78 93 78 37 66 1 
2 58 39 92 11 34 69 62 89 0 69 14 77 42 85 37 97 73 13 39 79 2 63 73 74 93 67 53 30 85 6 40 68 29 11 7 95 76 73 36 84 42 50 13 36 36 50 33 61 15 25 92 17 88 66 44 34 85 97 64 70 3 56 90 84 67 97 32 95 70 68 31 64 19 45 0 7 47 86 20 63 11 12 32 51 30 76 85 67 25 2 89 29 10 79 13 78 28 45 25 50 66 57 14 85 2 67 44 49 53 16 64 16 80 97 67 11 73 5 30 
