70
0 98 52 25 96 54 14 4 36 67 83 23 65 44 60 0 36 27 9 59 38 36 94 89 74 25 38 29 19 12 38 88 11 90 66 7 44 80 11 33 47 94 8 64 39 68 64 27 95 25 86 85 62 81 27 88 58 65 18 30 78 8 18 41 99 84 48 95 16 11 
80 0 58 89 80 97 57 44 76 5 70 62 42 84 43 69 24 54 35 42 84 65 51 2 6 2 39 6 49 55 17 82 71 75 71 51 24 80 47 0 37 17 63 80 53 58 49 78 12 36 20 96 1 23 51 7 77 42 65 27 49 83 61 20 10 32 23 35 64 71 
87 2 0 2 82 42 61 83 72 25 20 44 74 73 68 77 33 97 19 98 76 68 81 37 41 44 21 64 79 86 35 18 88 76 21 22 70 34 57 42 11 77 86 37 3 6 14 36 4 85 34 32 6 68 70 47 12 91 63 43 77 99 13 17 75 34 91 45 20 49 
39 32 78 0 21 81 84 36 69 88 73 56 72 79 24 42 78 88 86 42 83 15 41 96 33 68 83 24 65 55 25 4 39 4 81 61 37 65 97 7 5 70 63 78 2 39 20 80 79 58 22 62 74 15 10 7 35 93 83 0 49 9 56 88 65 38 49 54 55 98 
61 61 21 76 0 23 67 11 55 46 70 78 60 44 45 71 3 81 16 86 33 65 47 90 6 64 80 7 19 35 58 32 96 79 61 87 54 28 99 9 27 21 39 87 65 85 58 68 18 75 6 3 92 54 93 50 70 25 10 89 13 68 74 9 99 35 49 53 63 48 
14 90 69 54 30 0 91 88 54 61 15 12 64 60 18 10 10 89 35 72 30 48 40 4 10 91 39 59 96 55 59 11 97 80 17 27 66 60 68 72 21 83 84 37 95 3 47 58 44 35 30 74 35 71 79 45 14 70 56 11 77 67 22 75 47 91 54 13 51 22 
37 24 58 74 61 53 0 61 11 73 96 42 99 31 65 78 29 79 1 85 42 78 53 16 5 52 7 60 18 10 82 55 86 92 29 0 46 58 61 9 83 57 3 83 40 20 13 69 52 66 55 94 45 60 11 50 12 70 10 30 33 45 38 19 37 19 19 35 30 32 
45 13 89 0 48 30 21 0 99 73 28 6 19 25 18 30 76 83 1 38 65 34 35 55 5 25 75 77 60 5 9 57 18 99 10 67 81 31 81 32 56 61 91 75 87 61 6 15 44 59 5 62 45 41 17 50 66 92 79 78 97 89 88 68 40 98 87 21 81 68 
5 37 29 96 12 16 10 70 0 54 81 89 16 78 30 86 81 48 78 60 78 76 49 66 96 89 64 83 62 97 51 20 34 32 68 99 1 78 21 84 85 3 73 1 81 55 87 62 3 18 75 82 46 24 0 42 66 17 25 80 14 28 0 1 12 21 0 13 99 73 
50 84 28 75 38 10 31 77 24 0 47 99 20 93 76 73 87 94 90 64 74 56 92 27 57 57 48 57 22 99 83 24 36 11 0 26 73 83 55 98 21 3 49 94 96 77 67 84 71 9 48 46 65 93 25 23 2 73 32 24 24 15 49 60 27 1 86 0 84 42 
50 5 97 52 99 93 29 18 29 53 0 30 99 93 75 76 16 29 1 0 53 25 16 54 86 95 55 24 95 91 18 98 49 15 50 0 61 31 19 42 84 46 72 35 91 99 11 59 28 12 60 34 38 76 40 76 71 48 52 18 39 23 68 88 38 70 89 51 2 60 
94 38 58 18 74 50 18 85 9 98 50 0 84 40 97 25 68 20 73 20 91 64 43 59 5 34 30 46 85 84 6 79 22 64 50 96 66 20 34 28 18 36 49 55 76 47 32 96 19 57 68 10 21 12 22 26 98 52 24 35 88 30 67 10 47 17 59 65 37 45 
93 7 81 43 62 9 42 46 5 61 3 73 0 25 37 46 3 87 50 28 23 38 10 90 0 9 7 59 75 96 4 20 3 37 63 18 46 57 16 3 71 20 77 95 97 66 93 52 54 43 80 77 33 43 19 33 52 26 45 27 74 1 48 77 39 63 47 37 21 64 
41 44 36 70 39 33 36 32 85 42 27 18 19 0 61 38 97 65 16 42 93 90 96 93 20 35 8 19 24 81 35 65 25 71 87 16 56 76 0 42 18 27 12 38 39 73 28 89 38 97 31 83 87 27 28 59 14 37 79 39 70 66 56 96 38 96 12 94 72 65 
88 90 92 0 80 84 25 61 73 16 58 56 99 97 0 80 57 50 17 88 41 39 54 50 35 44 46 0 39 70 65 79 12 9 32 93 45 57 6 70 73 64 79 25 13 15 5 22 17 74 10 59 13 65 61 1 61 59 1 0 29 18 32 41 79 64 86 77 73 92 
47 47 8 26 24 22 93 29 44 11 55 7 22 68 24 0 69 85 42 22 38 23 92 70 64 24 86 51 1 59 95 48 58 4 27 82 78 20 63 74 31 18 81 5 39 5 88 60 43 82 35 81 57 79 3 22 3 89 25 4 0 72 5 59 76 32 41 6 4 57 
81 88 27 14 93 66 72 34 79 15 16 14 48 74 45 51 0 49 92 25 5 92 97 10 51 26 94 45 32 99 2 65 87 81 80 80 48 4 66 79 71 83 93 19 9 38 22 9 39 14 34 45 6 31 55 10 57 2 55 42 53 9 7 40 90 39 72 90 95 39 
