40
0 58 95 75 71 50 11 50 39 61 72 78 91 74 59 11 13 62 75 99 97 67 79 36 61 85 38 11 29 34 14 78 44 9 6 67 12 17 18 3 
30 0 81 21 16 92 85 81 6 60 81 3 27 60 92 40 97 82 51 26 16 17 57 13 79 15 80 91 84 98 94 14 41 27 36 9 19 73 91 25 
33 72 0 60 84 24 53 33 6 4 60 23 74 69 88 53 36 68 96 20 19 90 34 60 17 22 21 88 95 12 65 28 36 45 41 72 70 94 6 76 
50 18 51 0 39 39 29 75 60 25 95 79 15 81 91 84 4 12 24 51 77 89 32 13 87 25 86 9 71 44 37 21 62 89 98 1 80 27 76 40 
53 23 71 20 0 62 57 60 75 33 64 52 75 96 17 62 21 55 71 44 99 8 17 13 49 15 14 30 95 42 22 0 17 94 72 22 8 81 34 83 
15 98 87 90 46 0 4 19 60 75 63 12 35 81 25 85 96 92 67 43 34 41 43 52 87 16 26 96 97 60 31 64 11 19 6 57 24 10 77 36 
85 92 0 73 73 26 0 22 18 77 65 4 18 61 8 6 77 86 54 26 99 85 43 10 4 49 19 80 60 48 69 97 41 69 70 14 47 28 88 17 
57 54 22 76 15 82 34 0 21 88 22 20 25 65 82 30 15 1 62 27 2 31 24 43 1 95 9 0 75 98 18 85 4 40 61 71 74 47 15 95 
87 37 67 12 55 49 42 22 0 57 49 5 88 73 0 41 20 9 42 48 59 60 33 63 52 46 86 78 93 1 26 32 91 93 44 98 43 39 20 46 
96 69 3 84 94 3 78 67 64 0 67 24 32 0 39 36 98 26 14 43 79 40 75 22 34 19 72 29 58 92 27 54 13 30 91 8 85 69 27 49 
41 94 25 25 46 17 13 96 95 27 0 26 20 66 49 6 85 73 87 96 66 14 2 31 96 45 91 33 66 18 34 59 64 60 84 10 77 97 6 24 
77 97 50 49 63 51 55 1 25 94 49 0 8 51 74 56 97 66 41 63 84 75 75 49 87 59 11 16 9 70 40 38 19 91 87 83 42 94 36 19 
88 85 62 48 88 37 56 37 55 97 53 91 0 28 40 60 39 4 28 48 26 69 38 45 60 25 28 54 71 16 74 59 53 88 59 42 77 67 79 32 
