20
0 35 83 78 23 46 67 78 38 56 80 36 93 63 29 51 81 0 13 79 
30 0 36 38 64 10 66 6 81 46 78 0 82 13 30 57 60 49 87 50 
5 20 0 50 35 68 1 16 20 67 95 51 58 83 41 22 45 8 80 79 
54 10 31 0 24 61 97 36 62 85 86 19 57 24 69 92 44 22 60 65 
89 55 16 0 0 57 22 35 17 55 66 24 65 97 12 41 10 62 77 72 
47 15 91 56 40 0 48 36 35 8 1 24 15 69 24 57 79 99 44 96 
6 11 72 23 8 85 0 19 99 42 91 46 10 35 54 2 99 2 38 86 
62 40 63 29 61 39 86 0 38 30 89 96 41 61 20 50 98 37 21 97 
31 64 95 41 99 49 43 51 0 82 37 65 74 0 94 35 40 32 28 30 
63 17 27 56 30 99 58 29 36 0 78 67 44 74 61 95 23 4 46 27 
38 36 44 64 36 91 0 28 23 80 0 38 97 38 95 79 37 5 8 25 
37 87 44 81 13 5 28 36 62 27 15 0 63 60 65 51 51 17 80 26 
97 39 65 46 29 60 25 66 17 86 91 54 0 87 87 38 93 16 26 55 
95 42 7 10 54 24 61 57 41 93 83 90 84 0 88 13 60 66 79 78 
4 22 84 29 10 72 19 55 88 45 62 35 39 21 0 45 46 6 2 39 
52 38 82 36 38 70 50 99 88 81 29 44 4 13 73 0 85 44 73 25 
42 35 60 33 8 5 79 54 64 33 46 16 23 28 52 62 0 54 61 39 
36 42 83 92 7 9 58 93 5 83 70 47 18 83 81 78 40 0 33 56 
97 79 72 21 59 77 83 9 83 96 0 19 38 36 11 45 97 21 0 2 
4 13 2 74 96 35 53 36 47 38 93 44 69 17 17 28 46 0 89 0 
