60
0 81 80 37 4 37 42 39 9 37 86 94 81 88 31 15 85 42 9 4 95 78 98 44 40 41 15 40 58 96 60 5 78 40 42 82 30 37 73 39 26 59 33 7 48 16 74 33 10 84 89 6 14 87 2 7 81 17 47 39 
66 0 96 96 0 38 78 82 75 3 21 2 14 6 61 14 23 36 0 85 72 89 91 38 29 46 45 10 15 44 1 81 4 49 77 4 87 7 86 15 10 59 69 77 65 82 91 40 18 91 26 42 81 69 33 10 15 78 72 31 
23 25 0 27 74 42 83 13 49 21 80 12 80 1 89 97 84 32 38 54 24 64 97 57 85 30 19 1 60 43 32 35 68 96 62 94 38 97 59 40 18 40 52 50 41 93 48 77 25 86 32 49 2 81 58 87 63 77 40 23 
20 72 59 0 21 73 86 11 71 46 51 41 38 55 92 31 48 40 9 74 26 93 75 80 74 34 67 89 11 8 12 84 32 23 76 5 49 63 17 72 9 20 13 47 76 5 78 24 97 39 50 75 32 26 55 6 60 23 95 23 
83 60 59 67 0 36 73 36 99 42 8 60 62 74 7 90 31 37 67 29 77 17 4 9 43 60 68 55 35 15 31 18 27 42 37 15 78 10 51 29 4 12 89 67 86 48 9 17 86 76 46 15 94 3 24 89 63 44 97 98 
60 28 68 39 70 0 54 1 20 6 82 24 70 72 43 56 20 53 25 58 29 24 73 75 27 50 65 90 94 62 40 6 42 60 46 64 17 52 17 89 10 0 14 80 24 57 88 96 62 14 55 92 38 80 19 65 30 84 7 77 
98 99 35 92 11 33 0 80 86 26 70 96 26 84 29 50 93 17 47 56 83 54 0 73 34 19 38 17 56 97 94 6 96 81 99 59 15 8 40 1 86 10 49 13 94 30 15 39 0 14 95 83 68 47 57 55 19 47 72 75 
97 18 33 45 99 84 5 0 44 45 67 31 55 69 96 1 99 11 92 51 26 88 35 94 87 44 49 6 43 73 33 92 91 67 38 91 3 43 57 48 40 25 31 95 94 27 48 45 38 40 97 16 80 84 63 68 28 64 26 23 
38 60 16 29 79 54 72 82 0 30 82 89 55 13 36 1 40 84 46 31 76 43 47 9 79 62 29 7 27 55 83 65 15 51 46 46 57 19 81 6 1 63 47 56 29 83 9 21 19 55 52 95 51 52 4 30 66 33 90 93 
41 25 10 8 76 57 55 33 28 0 91 29 51 38 37 80 21 46 2 40 53 6 87 4 10 44 87 77 29 29 70 70 54 81 79 82 90 34 67 18 22 58 47 73 96 84 54 17 30 8 9 83 14 96 40 77 92 79 54 22 
8 76 92 14 9 23 96 99 9 63 0 31 73 16 5 69 0 11 38 82 19 47 18 85 95 10 62 88 89 16 62 49 45 54 63 54 30 11 54 39 26 23 71 99 40 28 20 92 39 58 27 58 5 45 95 52 7 58 92 96 
