80
0 51 34 53 13 58 68 88 15 98 84 84 66 12 44 27 91 82 41 3 88 85 96 98 74 29 85 42 5 4 99 85 56 85 91 69 96 11 9 11 9 94 47 27 6 91 55 98 26 48 1 14 33 49 12 60 30 50 2 88 54 54 73 10 91 16 32 87 27 41 51 88 35 98 68 42 42 75 92 68 
23 0 34 8 47 98 20 77 48 75 17 3 81 43 65 72 59 97 12 39 91 63 79 26 13 47 20 55 74 64 75 49 10 9 58 9 8 30 38 56 5 56 11 86 99 29 11 58 26 23 49 17 86 29 96 99 76 68 7 3 33 82 52 43 92 62 4 52 93 42 60 50 98 24 89 97 53 0 8 31 
23 57 0 61 86 97 12 15 65 19 18 50 54 70 93 98 33 49 50 26 92 10 28 90 34 17 40 39 17 48 71 40 5 72 53 92 21 66 59 38 37 77 89 91 47 34 89 32 84 91 10 76 54 39 18 40 56 58 80 74 6 51 66 64 75 20 8 96 38 67 86 75 44 75 19 43 62 8 28 46 
52 38 74 0 77 92 46 86 3 26 60 9 29 78 73 4 98 33 52 36 0 39 64 96 66 83 40 80 43 20 78 95 58 52 1 88 97 0 74 52 78 86 61 8 64 87 12 15 20 17 51 73 8 67 69 74 50 61 55 46 81 85 41 92 38 95 80 87 47 6 39 25 92 52 33 56 91 98 71 64 
15 75 37 23 0 58 49 45 20 56 91 53 42 84 45 32 31 25 71 78 31 10 4 23 14 37 32 6 87 55 70 2 82 59 77 77 17 79 22 89 35 65 43 29 1 88 13 33 66 84 63 97 94 67 73 9 57 57 67 96 12 89 99 47 48 28 24 17 7 98 7 95 15 2 76 16 90 90 1 8 
74 65 58 21 84 0 82 93 40 49 90 4 38 41 51 38 69 75 7 29 25 14 76 40 68 52 9 11 94 10 19 21 27 77 42 12 60 24 57 0 25 47 57 15 88 8 5 10 36 12 91 61 79 67 54 47 71 63 58 18 25 78 39 53 55 33 17 16 57 74 68 34 74 25 49 14 86 54 24 74 
18 67 87 97 86 41 0 10 56 55 28 82 33 67 35 41 0 52 9 9 78 77 95 52 55 96 67 41 50 43 15 20 63 2 18 49 96 15 59 52 70 87 34 4 6 69 97 58 73 6 19 4 83 14 56 90 10 75 31 12 71 98 33 34 53 3 83 49 18 95 53 88 82 88 44 41 9 41 51 35 
47 71 39 83 37 47 73 0 23 57 12 46 7 45 80 60 0 63 61 18 58 15 7 93 55 51 86 64 93 37 51 92 8 90 75 46 38 1 46 13 58 58 59 17 56 91 78 56 6 39 27 17 6 34 10 61 37 48 78 82 85 29 75 46 20 2 44 10 3 90 75 13 0 86 31 8 77 61 17 83 
52 44 0 59 78 62 72 67 0 50 50 48 80 77 94 52 79 38 62 35 80 89 48 32 75 31 41 4 44 58 39 97 2 92 8 32 54 80 99 17 31 1 65 63 78 11 15 58 1 29 45 33 18 93 65 45 77 6 1 21 16 40 18 18 32 78 2 39 59 54 56 42 55 73 5 34 36 72 44 37 
1 89 22 71 34 87 16 63 46 0 85 62 9 55 33 42 34 35 81 45 89 89 87 97 14 44 31 50 16 27 39 69 16 61 40 2 0 8 66 46 77 3 9 86 10 94 80 44 29 13 41 71 2 28 68 68 24 51 70 40 30 9 9 98 22 1 0 23 9 18 69 86 21 30 73 32 24 53 28 6 
