110
0 84 78 89 97 96 80 1 72 42 51 84 10 29 99 97 37 38 14 53 87 45 56 14 46 41 84 54 8 45 38 40 81 68 29 78 17 61 80 41 55 83 25 17 12 76 67 1 15 81 7 54 26 63 20 24 57 5 78 65 2 16 5 83 37 86 61 54 48 93 95 55 76 20 73 41 49 40 42 16 73 49 70 51 13 90 75 70 47 53 87 49 22 93 84 59 79 98 13 79 91 60 35 20 32 60 61 81 0 3 
97 0 5 19 76 18 62 51 40 9 4 27 11 78 72 47 37 4 45 2 35 89 62 70 61 95 30 22 28 82 77 26 7 82 97 83 52 59 86 92 69 43 72 32 21 44 79 11 48 77 13 84 66 28 6 27 75 89 1 3 71 78 81 31 13 79 66 65 90 5 10 59 48 82 43 21 26 23 32 27 0 98 63 18 78 21 97 53 10 98 8 34 28 42 17 41 73 35 59 63 40 69 75 88 51 18 10 29 93 94 
8 93 0 23 63 70 45 60 75 7 58 84 93 39 78 62 32 51 98 91 14 38 12 89 79 15 60 89 97 53 35 5 99 28 81 62 50 26 23 78 85 33 14 31 72 92 93 57 43 91 48 9 30 13 51 61 28 11 50 25 64 85 83 15 65 64 78 68 42 53 46 79 86 60 10 11 4 4 68 47 47 68 8 29 81 59 90 62 22 92 87 39 30 22 54 47 86 32 15 80 85 13 60 24 73 70 87 29 26 55 
28 74 75 0 55 57 48 46 71 71 90 10 62 20 33 16 68 19 1 83 52 86 49 12 62 74 82 49 4 61 56 32 87 32 69 42 41 70 40 12 93 31 22 55 51 55 71 71 27 72 7 79 11 56 91 25 30 25 75 34 86 31 67 73 15 88 68 56 58 8 68 3 39 43 58 43 98 82 14 77 54 21 56 17 77 99 43 60 77 70 94 15 53 13 89 69 2 9 77 12 17 98 16 9 41 26 52 91 8 18 
69 63 40 77 0 69 29 27 29 6 49 76 21 3 89 62 24 43 71 53 56 89 51 24 50 92 50 2 84 59 20 5 74 12 82 58 34 11 38 63 69 87 39 91 42 81 53 66 24 77 72 32 18 23 56 68 68 59 22 4 70 94 9 44 7 43 54 93 7 92 56 76 80 48 19 22 29 25 41 5 2 13 38 20 88 94 88 56 5 62 12 75 56 21 71 15 17 26 8 24 18 17 52 50 65 72 25 46 97 18 
3 51 83 41 23 0 36 11 80 93 25 92 69 81 66 40 97 83 66 5 59 37 22 11 39 39 35 16 37 84 34 41 35 69 82 58 93 70 21 73 64 46 17 33 28 35 25 77 70 92 82 29 81 5 93 72 96 80 89 34 65 75 75 0 45 57 11 38 80 84 63 44 31 32 29 11 68 54 88 90 98 22 20 79 79 65 4 76 45 45 10 62 20 37 15 17 46 26 7 26 10 70 70 93 55 99 56 23 6 96 
65 4 19 37 36 98 0 40 26 0 85 88 62 57 25 77 75 72 55 82 98 66 5 21 11 60 72 68 35 78 64 0 83 83 38 19 34 92 11 12 92 96 1 7 53 78 84 80 50 92 15 1 58 20 74 21 32 46 89 67 77 6 19 60 41 9 31 75 2 42 40 46 90 41 5 95 19 42 76 22 34 91 75 44 63 49 65 95 47 55 14 24 61 85 36 54 95 67 82 49 9 22 47 99 63 53 95 34 95 23 
8 29 66 83 73 29 84 0 76 32 45 42 56 58 79 93 13 26 12 95 75 22 69 75 73 84 28 20 18 75 43 79 4 9 62 29 90 47 19 18 31 65 12 39 75 92 32 40 18 45 35 46 19 4 73 44 88 1 65 59 76 8 38 32 70 52 61 12 51 80 31 34 97 95 74 73 87 6 13 58 3 1 56 74 57 29 19 98 82 84 57 10 44 47 42 14 51 55 79 55 87 62 89 85 57 63 10 97 70 75 
55 25 76 63 0 34 44 19 0 26 3 41 88 99 40 82 66 91 37 45 46 76 7 88 13 16 51 23 13 21 99 20 99 27 35 99 13 79 70 97 57 25 90 45 24 30 27 90 74 16 35 72 93 94 60 6 63 12 82 76 85 81 49 36 60 84 35 74 16 57 71 73 82 62 19 7 44 98 49 70 15 37 95 60 83 7 66 46 19 48 75 57 81 24 93 42 60 81 68 76 38 39 50 73 53 21 80 50 19 81 
72 34 18 67 94 2 75 13 48 0 13 23 55 47 99 49 89 60 82 57 88 72 48 90 45 54 11 77 56 31 59 28 17 29 96 64 31 71 29 32 69 42 55 25 89 7 26 30 67 8 39 7 32 40 98 78 46 9 7 2 92 18 30 62 48 26 78 79 49 7 63 71 1 19 96 43 78 22 25 97 82 65 4 14 57 2 44 3 64 4 5 8 22 35 70 70 14 0 2 15 59 65 86 61 36 82 56 66 56 81 
63 38 98 68 5 55 22 1 58 86 0 63 95 28 51 17 50 65 70 4 32 29 22 19 90 10 53 98 77 10 80 40 0 78 60 57 34 83 59 44 69 16 60 16 96 11 86 47 28 56 3 60 85 77 79 28 40 85 26 17 95 6 9 47 37 70 5 23 5 16 67 74 32 27 43 29 38 81 28 18 37 83 79 74 61 10 2 53 95 81 70 42 39 31 42 76 53 47 99 58 15 67 85 99 46 28 28 85 9 8 
55 98 44 34 72 57 97 27 10 44 8 0 39 99 63 81 76 17 28 27 27 95 46 12 94 93 92 75 30 53 83 85 51 79 72 24 36 21 3 46 65 63 30 4 62 94 85 90 63 65 18 90 12 16 55 7 9 47 82 91 1 17 29 52 97 1 28 85 74 31 84 39 94 14 96 9 8 33 99 23 51 69 66 63 86 21 70 47 68 4 39 69 22 20 74 71 73 2 56 47 86 40 38 32 7 34 41 67 68 93 
91 71 62 57 34 48 78 5 96 98 9 87 0 83 59 94 6 32 48 63 79 34 55 69 19 62 4 12 30 24 5 73 95 68 30 29 68 60 86 16 10 48 55 30 83 14 24 90 46 73 5 77 59 60 47 30 75 3 43 5 79 0 78 26 68 60 7 89 72 94 5 82 94 61 13 77 75 37 19 74 62 24 3 74 85 2 4 60 57 47 17 36 48 47 62 68 7 70 57 79 16 63 13 62 76 26 91 3 16 11 
29 78 35 33 52 72 87 57 84 45 56 1 81 0 48 96 25 7 18 34 38 86 49 52 48 25 30 39 81 46 50 10 25 38 95 29 10 83 38 95 28 95 48 61 3 97 9 28 56 27 15 47 13 64 99 13 42 81 53 23 28 55 33 5 93 29 34 56 12 25 51 92 20 99 5 23 48 15 4 57 94 19 4 8 35 55 21 77 36 26 0 64 82 86 21 27 15 56 83 79 33 34 23 5 86 28 80 86 95 84 
43 90 55 47 50 43 2 23 20 91 50 73 55 84 0 77 11 26 85 95 57 70 81 80 75 19 60 55 6 56 92 1 46 47 49 96 42 3 19 15 46 21 88 2 5 99 31 17 77 68 64 34 38 97 66 13 17 26 20 23 82 12 76 80 12 77 28 54 81 48 69 79 21 57 81 27 8 64 96 85 84 12 71 74 9 37 39 26 16 60 1 98 72 78 31 84 55 59 39 88 59 60 68 81 70 1 60 78 18 8 
16 2 20 87 77 29 77 68 8 93 28 9 43 1 39 0 37 95 34 28 35 45 89 3 78 59 57 38 37 75 46 53 29 18 93 58 48 70 27 56 63 55 17 6 8 57 81 46 52 67 74 39 64 63 43 43 74 52 81 12 27 80 17 8 98 62 67 98 32 94 6 95 49 24 54 58 81 35 56 85 54 82 24 18 46 19 61 72 71 95 36 50 27 54 59 77 16 26 28 1 72 34 96 21 10 2 31 91 89 39 
28 43 22 53 14 20 24 27 92 48 74 29 98 1 35 9 0 3 87 59 4 59 45 53 33 56 55 16 99 45 56 28 40 78 33 54 50 57 82 42 5 8 23 56 10 58 65 93 62 53 52 18 12 97 71 45 5 27 14 5 24 70 33 64 0 66 19 50 75 53 44 33 61 68 89 23 78 6 68 92 59 72 11 24 22 34 21 27 13 35 32 37 5 65 2 5 83 73 7 11 78 52 44 91 20 85 67 50 91 35 
43 51 8 54 27 30 40 48 57 54 84 42 91 41 59 45 99 0 70 6 6 0 10 50 92 82 35 11 33 26 46 76 29 6 82 56 88 22 57 98 28 41 40 72 34 99 69 85 94 40 44 0 40 54 2 84 37 89 95 22 68 42 50 97 0 84 6 89 6 63 39 87 56 31 59 42 30 28 28 77 20 72 29 61 26 32 97 15 73 93 89 41 87 39 91 87 23 49 28 82 12 19 69 20 50 80 62 33 8 42 
10 29 14 39 42 93 23 39 60 97 84 50 90 71 89 81 11 13 0 91 47 94 11 16 14 61 48 29 94 56 71 56 37 38 96 31 31 71 23 91 20 7 93 11 79 83 92 42 48 75 33 95 69 44 63 36 58 11 17 52 19 40 9 9 78 57 92 61 80 15 5 1 23 98 12 54 81 56 96 81 31 29 28 1 26 43 89 84 54 6 36 26 46 97 87 25 6 79 38 39 47 43 40 70 42 4 76 75 60 24 
