140
0 92 99 54 32 42 63 62 8 21 24 22 48 6 14 93 12 4 4 93 71 88 82 80 14 49 31 40 53 64 55 44 56 7 50 40 1 14 54 9 87 78 32 36 85 98 29 49 2 33 42 73 73 24 5 87 26 88 27 79 52 35 23 60 94 74 0 95 40 54 5 27 85 37 63 22 87 44 71 89 77 13 62 3 89 20 42 15 8 22 94 61 57 70 21 51 96 22 98 36 28 3 15 13 92 79 35 79 75 58 68 5 71 83 8 13 3 50 28 63 72 75 24 81 45 46 84 93 20 83 29 48 38 44 14 83 75 49 62 3 
8 0 8 31 18 16 96 73 18 25 36 43 52 61 76 49 7 61 42 79 96 23 27 86 67 41 69 95 43 32 98 3 67 58 86 85 74 83 10 44 60 46 39 12 7 16 61 66 29 3 45 77 26 25 63 45 18 33 92 13 17 42 16 84 0 55 21 26 38 31 71 50 29 62 62 37 78 75 55 59 30 53 36 8 30 52 53 48 85 98 14 54 40 30 90 93 37 63 19 27 94 42 77 23 5 91 12 35 66 20 95 96 25 83 4 55 35 10 55 72 60 69 26 0 52 68 45 89 31 65 17 77 7 46 1 64 38 65 52 4 
37 99 0 14 82 9 69 70 71 77 42 31 98 21 84 2 89 29 44 21 46 13 98 6 59 51 70 97 69 74 54 58 73 59 73 56 20 94 78 92 23 20 75 22 93 59 76 83 41 20 56 87 33 6 93 93 58 16 42 79 90 96 37 64 55 10 72 76 57 50 20 80 22 95 2 16 7 31 51 0 51 7 87 85 13 33 30 23 49 72 54 91 21 44 55 28 6 79 56 63 29 76 44 4 24 98 20 83 29 71 83 33 30 22 70 95 55 0 71 56 24 25 48 45 21 55 74 28 35 30 91 16 59 87 72 35 38 92 18 67 
15 1 52 0 75 22 93 31 74 64 87 99 41 87 96 63 43 22 91 30 5 34 98 64 74 71 99 12 15 69 31 31 22 84 28 97 58 73 28 33 89 68 84 31 55 80 46 50 3 89 32 60 23 83 24 49 6 75 61 21 96 93 4 18 29 85 15 87 58 96 20 0 16 4 31 23 37 77 26 92 66 58 52 41 93 28 43 99 55 4 73 51 49 29 21 78 14 36 66 25 84 86 25 0 43 8 76 80 37 2 72 55 60 24 96 6 4 39 5 59 96 30 10 45 60 83 24 74 71 90 51 56 28 28 8 71 36 84 3 73 
86 75 28 99 0 77 5 55 68 62 66 16 45 28 62 5 11 38 31 83 28 83 39 8 63 99 80 0 84 83 25 22 11 6 21 14 35 78 22 3 93 88 72 38 69 34 43 80 72 26 63 52 61 54 60 25 6 92 77 42 28 2 64 39 60 38 5 95 68 27 51 61 68 23 51 37 9 46 17 33 73 33 37 34 39 49 11 45 42 88 87 22 43 4 13 3 42 18 51 10 98 54 24 66 29 27 3 38 74 72 23 99 57 60 33 97 9 97 94 51 85 34 25 80 38 38 36 80 57 87 42 55 93 18 73 22 46 76 60 20 
0 83 19 10 43 0 59 4 53 53 8 39 87 33 19 77 72 7 9 29 94 52 36 39 70 9 61 16 37 21 88 89 56 59 99 51 16 58 56 69 64 16 8 3 49 80 81 21 87 90 2 34 94 38 73 17 99 87 33 36 60 74 26 17 33 77 20 49 88 28 71 52 44 79 55 46 11 88 67 51 31 22 37 25 60 62 94 12 49 28 48 10 54 26 79 39 56 51 41 44 32 12 96 28 43 3 74 55 44 42 58 75 16 47 52 28 9 47 40 11 27 41 73 33 19 4 72 75 55 13 19 39 25 67 68 69 23 42 76 67 
36 34 94 52 33 46 0 42 45 21 5 24 62 78 57 82 82 30 9 90 43 81 81 69 48 49 90 23 92 66 90 28 52 36 33 85 35 14 79 80 87 85 5 50 63 14 84 98 44 45 40 40 26 21 9 27 23 51 50 15 17 93 95 21 29 80 6 64 94 85 97 82 22 54 84 86 68 20 36 65 65 28 5 44 1 66 71 76 17 73 43 86 66 39 7 48 19 13 64 66 50 61 48 73 67 84 11 88 4 99 53 21 79 58 65 80 24 88 9 41 62 52 27 80 43 34 28 15 99 45 81 1 58 81 74 26 65 85 66 21 
36 19 42 15 77 60 48 0 48 57 46 62 9 73 43 53 59 23 68 10 68 1 11 79 82 38 57 99 75 23 20 12 42 14 27 71 26 27 24 27 84 70 89 46 95 32 51 6 8 19 68 28 72 31 7 54 69 64 5 45 87 77 57 81 91 36 52 70 64 76 97 0 98 86 98 45 71 49 51 79 20 71 59 92 3 67 46 72 83 51 17 23 28 26 4 72 15 57 42 79 85 91 31 36 77 30 81 0 79 85 31 52 56 91 44 59 10 91 84 93 94 1 16 75 80 73 99 95 82 93 26 19 84 57 55 13 39 89 14 71 
74 45 23 82 36 19 42 46 0 26 92 57 79 60 84 59 33 83 6 67 76 32 87 12 42 42 25 33 83 39 56 57 37 79 40 73 99 34 72 13 12 16 70 43 76 6 3 62 89 61 29 17 94 68 29 88 11 55 21 94 46 78 4 83 9 96 9 60 82 33 74 94 49 96 37 77 3 92 91 44 54 73 62 0 41 43 88 4 98 61 51 97 39 55 32 1 3 41 61 85 26 87 79 27 84 68 57 39 61 48 83 67 21 97 67 63 41 7 67 91 68 18 88 60 25 21 61 28 14 74 13 41 62 44 20 98 13 77 37 26 
26 72 93 99 70 12 14 11 19 0 2 87 52 43 47 30 64 8 10 30 35 76 71 49 20 44 99 85 21 88 63 99 60 56 99 30 68 13 93 87 47 96 27 52 39 74 34 55 35 44 85 70 20 9 19 93 53 18 30 26 58 94 26 18 2 77 1 23 42 94 62 42 42 89 94 33 64 80 88 99 24 26 21 97 87 92 42 40 62 24 18 20 70 44 38 73 73 39 48 16 86 10 10 80 0 4 14 16 36 54 15 12 80 36 61 67 80 3 59 42 80 78 62 50 74 0 75 48 92 23 16 30 86 26 10 86 82 76 2 18 
