100
0 96 89 5 96 88 97 43 50 9 31 31 18 61 80 64 17 84 62 46 30 21 6 62 68 34 64 0 57 44 60 15 92 50 20 40 90 69 83 41 30 14 24 49 27 4 65 45 40 27 43 71 0 50 85 21 36 1 21 93 45 81 8 89 83 81 29 74 50 64 67 33 79 91 82 58 48 47 3 40 26 99 11 78 1 96 99 37 97 20 30 94 54 91 35 37 24 64 63 26 
29 0 59 60 26 41 18 74 40 74 14 66 25 78 45 26 26 44 63 24 17 45 70 71 36 6 60 60 22 76 39 3 58 98 63 36 92 34 62 32 8 29 99 33 7 96 59 33 92 74 9 9 71 32 32 8 90 45 20 12 73 59 68 83 10 31 20 2 65 82 34 25 11 85 10 18 33 21 4 26 95 65 87 67 97 20 27 87 17 99 52 90 11 20 73 21 3 93 75 21 
76 61 0 39 47 57 10 80 78 14 58 26 79 46 45 29 66 24 16 83 23 20 73 34 40 98 7 44 92 34 17 20 96 63 59 43 72 21 75 3 35 34 29 67 32 26 96 50 50 64 33 73 37 58 60 77 56 19 73 0 54 90 20 50 6 32 45 78 53 72 81 41 58 62 60 90 88 8 40 38 24 25 64 61 35 76 91 44 47 64 44 1 7 17 3 65 1 0 43 54 
73 77 47 0 91 59 74 80 67 14 70 92 92 86 5 27 62 96 71 62 13 16 63 20 85 19 85 86 19 80 92 92 9 40 76 1 51 50 81 19 16 3 63 8 90 68 88 4 17 59 66 30 27 82 2 12 1 39 98 72 19 91 17 29 83 93 30 34 95 63 5 63 66 20 72 8 41 12 65 58 71 31 88 99 65 42 11 18 81 62 91 0 5 8 81 40 53 63 74 0 
26 32 63 45 0 87 5 93 99 70 3 71 54 91 22 19 33 85 38 14 47 81 67 4 41 0 44 94 64 71 94 42 3 9 87 7 97 93 53 96 63 56 19 69 0 41 89 33 27 79 0 26 12 19 31 53 19 75 99 35 98 45 78 1 54 65 61 51 10 14 48 26 22 19 95 22 61 36 8 40 15 8 66 79 79 49 32 50 25 83 86 23 28 64 77 83 81 90 34 92 
4 34 18 26 54 0 1 67 2 9 7 69 17 25 49 48 75 81 98 0 65 84 75 45 48 4 28 82 94 15 74 50 49 44 29 55 9 30 22 63 39 81 33 8 7 82 56 82 15 6 34 32 91 61 78 91 66 6 73 12 21 99 15 23 95 44 30 5 26 5 20 65 86 53 25 93 35 33 27 3 39 61 35 30 75 13 74 93 72 47 5 45 99 20 20 94 16 51 51 42 
56 72 59 94 25 36 0 13 69 67 16 9 81 3 39 56 69 13 49 41 13 6 38 12 79 59 6 95 62 58 90 18 82 1 12 7 38 52 72 7 20 40 16 53 44 8 9 13 73 10 6 86 16 44 50 47 55 9 43 17 19 85 87 1 38 0 60 76 4 33 36 76 25 4 29 69 12 90 34 38 0 40 76 69 37 27 16 44 88 11 62 7 48 49 60 87 1 20 15 58 
5 3 34 31 8 16 0 0 6 87 10 59 79 87 28 16 66 96 61 54 8 75 13 56 76 73 95 30 93 11 88 51 66 22 82 74 38 82 47 97 69 9 56 49 48 36 17 66 32 30 72 92 57 85 1 34 10 96 16 56 59 4 7 26 78 89 0 69 23 99 66 45 61 22 46 61 58 63 28 42 46 52 35 3 90 36 89 0 32 5 8 44 61 15 70 40 56 22 9 80 
74 75 25 87 49 71 48 59 0 28 1 32 81 36 88 71 72 29 23 5 35 32 49 96 47 71 36 4 93 97 36 19 72 13 6 73 84 7 32 22 35 34 7 16 70 95 39 43 24 63 0 11 95 49 60 94 72 48 50 17 46 38 37 70 51 95 44 35 2 76 10 38 10 17 6 33 12 46 76 88 61 76 0 8 77 12 2 49 60 5 18 6 43 55 77 95 51 73 82 5 
49 92 43 12 61 2 45 73 48 0 14 9 49 66 17 78 78 71 79 38 28 97 45 72 5 74 19 8 47 53 13 96 98 9 60 59 11 5 85 11 78 99 72 79 65 41 57 43 12 36 81 93 86 78 65 91 52 36 99 51 89 64 0 39 73 60 99 84 18 84 95 96 83 19 76 0 60 85 43 25 22 76 18 8 55 35 51 59 71 50 63 12 14 63 4 40 75 3 24 93 
39 72 42 22 91 70 22 4 55 17 0 29 45 47 89 0 34 40 12 57 90 27 21 57 42 25 97 17 28 73 63 67 97 57 41 41 27 15 45 34 84 26 64 30 25 53 82 59 94 46 16 36 73 37 45 15 63 94 85 43 68 48 63 17 5 4 58 84 72 55 18 56 33 82 86 58 88 69 17 82 15 85 70 41 75 16 56 90 10 93 85 30 93 48 0 98 5 10 34 77 
