120
0 82 49 5 68 9 77 24 65 68 89 0 20 98 2 50 27 11 51 78 30 50 74 54 44 92 67 49 67 40 16 7 22 17 64 42 26 42 18 91 62 8 44 82 58 46 84 37 9 35 15 39 38 90 94 82 34 13 31 2 53 0 61 27 17 78 21 44 72 40 87 34 0 31 69 10 29 5 47 39 41 62 30 31 4 24 13 39 90 96 93 95 96 6 23 66 84 96 62 56 36 1 43 88 85 64 98 14 69 97 53 62 12 84 93 16 60 58 7 50 
7 0 98 3 59 73 21 95 69 83 4 6 85 47 94 70 11 45 36 32 42 42 95 54 26 88 23 38 99 30 41 6 35 39 61 46 12 83 41 81 18 97 39 3 96 86 25 59 83 62 92 25 4 87 32 82 27 7 72 78 89 13 84 24 4 46 70 16 81 64 50 99 61 89 55 58 27 32 17 10 46 9 88 50 48 72 84 28 79 9 6 68 22 91 93 79 89 15 95 22 79 97 21 41 39 28 51 66 61 20 29 7 82 17 10 30 89 46 10 68 
55 17 0 78 60 81 57 1 97 4 23 28 54 96 21 93 25 72 11 38 93 40 45 27 57 7 57 98 54 20 66 9 37 55 39 49 88 48 50 37 5 25 66 59 73 39 52 50 12 63 88 57 56 86 84 13 93 93 64 47 65 30 57 54 37 96 3 78 97 5 67 2 82 33 61 56 25 65 6 37 80 95 46 36 81 82 2 74 27 66 74 93 48 31 47 38 79 3 16 76 8 83 78 43 69 91 99 94 56 5 83 37 52 81 73 85 15 27 12 42 
93 86 87 0 69 87 32 0 90 48 29 50 83 59 93 4 51 44 50 7 2 33 96 6 66 22 92 81 49 4 76 43 42 63 37 11 50 69 63 92 69 92 43 4 52 88 9 3 85 11 62 87 45 11 93 63 33 85 45 34 41 21 29 83 36 18 46 87 87 10 31 8 54 26 13 6 15 74 61 0 85 76 39 82 87 32 46 72 70 43 58 11 16 88 47 52 6 45 91 46 7 23 6 62 49 71 68 16 97 82 68 83 58 7 17 97 92 15 21 62 
10 79 25 26 0 72 79 78 70 22 24 77 45 82 39 47 54 60 15 51 42 84 86 0 43 56 49 35 23 70 97 34 1 23 12 21 47 91 99 17 66 75 47 63 57 86 10 11 46 78 15 88 62 53 40 57 61 89 93 85 11 42 19 13 65 31 34 65 75 85 34 41 60 81 56 17 20 67 81 66 45 48 7 59 1 99 16 63 89 9 0 52 4 71 65 21 2 51 86 29 36 73 22 96 6 79 66 26 98 47 45 95 95 52 6 48 3 22 63 92 
84 63 97 88 34 0 9 89 66 48 70 2 21 93 51 27 24 17 6 74 64 51 69 11 55 75 11 58 49 75 3 85 90 0 25 25 14 87 66 80 35 36 83 8 81 86 87 57 3 93 31 67 44 52 30 51 79 41 10 29 16 65 66 59 65 92 84 31 79 2 12 66 38 47 74 72 33 61 29 88 7 61 55 3 13 37 55 45 78 17 74 47 82 92 6 99 84 42 30 15 44 94 81 34 93 55 6 78 69 36 66 76 49 73 31 14 10 86 59 41 
3 85 40 37 78 98 0 62 40 71 78 36 65 11 70 11 19 77 41 88 13 8 16 62 33 47 28 96 86 88 37 41 73 29 79 51 27 67 66 19 38 96 55 56 7 25 19 78 2 60 66 67 20 34 81 6 34 10 2 20 98 91 61 23 20 92 27 99 12 93 18 2 41 73 10 0 98 29 79 53 42 97 20 14 32 54 20 18 64 74 38 14 65 51 89 37 44 16 36 8 61 54 10 54 79 21 55 30 2 86 83 96 83 55 63 67 9 83 85 25 
10 23 91 27 27 81 65 0 49 53 31 11 60 41 65 39 14 72 69 69 58 4 17 94 60 80 61 21 16 47 99 26 22 90 53 49 23 18 72 73 24 3 36 84 97 53 23 63 26 45 32 36 1 50 30 61 82 92 35 98 91 34 24 13 76 78 63 0 48 35 73 72 91 61 56 40 14 32 3 92 29 88 29 30 90 59 44 72 3 31 71 94 65 47 8 41 25 23 93 26 58 18 50 1 79 7 41 94 91 45 86 72 33 67 54 75 79 98 47 82 
29 70 77 46 18 37 40 95 0 33 21 70 4 72 72 83 31 13 29 74 10 68 46 95 35 0 70 14 51 70 49 32 40 78 31 58 15 71 54 27 56 27 49 60 99 21 96 82 87 77 56 97 45 54 45 33 7 15 99 10 37 48 42 78 78 73 88 45 96 94 72 5 22 22 17 73 95 65 56 82 43 64 32 88 71 29 73 78 44 73 88 34 73 82 12 52 8 52 97 56 47 22 61 21 96 79 94 91 96 2 26 39 19 10 80 90 39 53 68 35 
78 8 69 52 90 33 56 50 86 0 7 85 27 68 6 75 99 52 67 96 7 45 87 26 55 67 16 46 73 84 81 51 44 3 55 86 88 11 37 26 17 44 11 96 64 69 72 16 22 91 64 29 36 51 55 43 71 23 41 44 59 22 47 3 77 3 89 66 66 26 92 35 22 56 84 39 25 56 55 99 99 19 80 35 22 35 30 93 10 71 89 69 45 37 72 75 92 14 41 58 92 85 46 15 41 30 54 19 38 61 18 37 32 99 24 54 86 54 0 97 
