50
0 74 60 86 13 67 28 21 39 75 81 76 24 76 1 14 91 36 68 14 61 44 74 41 93 99 55 39 39 9 28 41 83 88 80 49 7 8 70 47 36 51 75 60 80 28 74 71 16 94 
86 0 38 12 71 84 12 26 75 3 36 3 96 71 44 76 20 51 37 42 50 73 94 77 85 26 5 12 97 74 6 35 51 97 0 74 81 64 1 56 19 89 11 15 12 55 44 85 59 81 
27 9 0 73 39 39 99 96 51 49 70 10 36 74 7 36 48 88 0 1 96 19 90 7 87 55 15 31 40 26 12 19 87 18 93 26 9 44 23 13 93 45 23 82 19 82 18 68 70 71 
21 18 42 0 77 29 19 44 12 11 70 76 30 58 46 75 84 56 20 59 21 13 5 44 95 76 78 66 44 0 89 66 18 31 82 95 13 1 40 25 12 62 2 94 20 48 70 57 56 90 
16 77 55 73 0 3 50 51 21 46 51 10 64 21 41 46 17 54 99 9 32 11 71 86 58 44 86 28 1 43 70 69 72 25 43 46 80 45 49 1 91 53 11 56 74 5 54 43 11 54 
4 43 17 76 81 0 72 68 3 73 11 25 42 83 51 37 81 31 34 31 85 26 84 96 34 58 53 88 2 65 94 6 60 12 34 42 87 6 10 43 31 21 68 26 56 71 15 38 55 50 
69 40 76 5 88 62 0 42 2 17 59 97 76 19 9 62 61 48 69 23 43 52 44 12 78 53 35 94 91 90 44 12 82 72 17 23 34 80 65 88 50 76 85 26 95 46 88 9 47 9 
32 90 14 29 54 92 82 0 38 73 32 34 37 15 6 54 90 92 34 55 33 36 31 18 62 78 17 3 39 64 64 72 6 30 53 61 23 35 3 13 60 35 48 97 2 6 51 92 51 37 
99 84 74 82 54 88 13 71 0 52 87 60 24 94 90 29 55 65 64 10 79 76 45 79 73 0 85 76 44 36 66 96 20 40 78 75 80 43 98 24 96 86 84 72 80 26 2 87 92 18 
97 23 95 94 2 20 46 87 49 0 76 15 39 48 7 69 23 87 13 74 63 61 60 99 33 92 26 87 79 70 6 28 93 1 74 95 73 21 34 22 64 10 89 3 59 96 24 34 36 37 
8 99 50 68 51 84 12 77 71 43 0 29 71 92 82 46 87 56 19 73 30 83 84 20 38 43 16 14 77 52 4 38 4 54 58 55 90 71 84 14 14 83 43 86 27 26 84 66 34 3 
39 64 38 23 36 28 18 5 94 48 9 0 86 13 53 44 20 43 15 4 9 30 39 53 68 66 31 4 32 65 59 72 81 49 47 70 29 66 75 23 14 84 22 52 98 27 96 18 22 64 
75 32 46 66 85 66 33 68 70 17 85 81 0 18 30 89 88 59 7 63 82 21 48 56 25 98 83 21 68 58 37 43 90 83 10 27 49 95 95 19 12 80 52 54 98 82 95 87 93 2 
2 28 75 50 84 0 48 20 73 17 78 11 12 0 94 74 47 96 21 42 67 34 74 20 40 24 2 35 63 96 37 66 24 12 68 60 12 69 80 85 86 10 48 50 30 43 77 77 39 98 
71 6 32 97 78 24 74 81 59 37 29 96 55 5 0 76 65 24 45 98 62 83 8 10 85 39 5 62 68 96 61 40 55 45 89 33 70 63 14 81 53 95 30 60 0 90 36 66 15 33 
16 77 68 24 39 54 15 45 16 84 41 29 76 96 75 0 30 97 29 96 78 34 92 8 94 92 99 83 10 66 16 26 95 85 3 34 91 70 31 7 54 25 89 82 73 64 48 3 61 29 
52 39 63 96 48 9 40 99 92 3 65 9 81 12 46 84 0 37 55 30 96 61 55 85 44 28 1 44 84 62 25 88 54 40 84 54 49 76 5 42 79 22 3 61 34 1 45 32 38 52 
14 86 66 21 72 62 2 25 58 38 40 83 26 94 23 62 0 0 38 5 18 18 79 21 79 13 22 76 97 12 81 64 99 47 85 23 9 87 48 67 25 88 2 3 34 77 65 34 1 4 
91 20 22 70 93 53 35 68 29 85 80 10 49 31 9 34 54 18 0 55 37 99 43 39 55 30 16 20 64 70 24 8 42 98 30 35 3 66 3 33 51 36 95 52 67 57 86 74 75 12 
29 65 12 24 56 67 54 25 39 71 95 16 79 37 14 9 72 18 27 0 3 30 64 50 82 83 7 21 57 35 33 38 52 97 63 8 16 17 33 56 40 28 72 19 17 38 81 90 56 60 
70 11 43 34 14 25 69 21 46 27 8 32 65 60 29 80 69 46 98 2 0 90 83 78 10 0 16 43 42 25 55 12 36 98 98 50 24 68 24 22 47 32 6 64 93 36 45 62 34 95 
16 40 85 99 18 47 52 34 42 94 59 98 59 48 96 9 50 72 29 26 47 0 59 53 93 4 41 38 66 27 33 34 19 70 86 37 18 38 72 60 84 83 10 43 83 7 5 86 31 34 
12 78 63 71 84 56 75 77 94 93 5 79 80 24 1 66 14 19 4 38 32 40 0 42 36 57 1 41 43 33 75 7 63 90 79 47 46 6 25 92 52 82 23 32 58 25 98 72 44 54 
62 28 46 36 71 82 93 72 23 88 57 51 95 21 41 26 20 88 85 97 32 37 79 0 69 90 81 19 14 77 25 77 6 71 13 29 54 58 53 29 98 11 80 45 84 22 24 4 62 9 
2 94 98 33 50 19 23 31 38 90 61 15 67 19 86 32 48 92 90 53 22 40 16 2 0 0 24 61 57 38 22 59 33 20 92 83 39 68 67 29 58 28 44 77 47 31 9 47 23 51 
52 97 91 69 0 80 69 76 42 26 15 16 37 48 37 82 83 28 50 50 58 60 30 54 37 0 85 98 28 61 49 81 58 92 50 10 72 71 87 66 50 54 83 87 2 72 69 37 52 71 
40 10 83 70 65 72 52 2 70 80 15 19 61 74 63 11 36 88 35 23 54 85 29 89 72 31 0 94 21 66 17 61 28 1 31 45 25 83 48 96 16 15 67 77 41 31 41 78 19 76 
53 25 13 83 67 85 66 80 31 87 98 49 48 27 2 32 72 79 67 72 75 83 40 95 61 81 78 0 59 97 82 13 74 95 48 41 32 14 74 64 2 72 65 2 51 19 34 76 98 2 
0 74 85 40 21 98 22 99 52 33 48 86 46 22 81 46 16 66 61 42 30 15 14 47 17 18 66 52 0 64 54 94 90 91 35 11 90 9 10 94 42 10 33 41 33 14 87 1 80 0 
