30
0 24 2 84 19 85 23 35 4 35 50 76 56 73 53 25 90 24 24 41 10 27 4 82 52 43 72 12 21 12 
30 0 36 84 66 7 21 89 95 25 76 97 1 32 22 54 10 12 78 34 53 41 61 10 23 65 53 48 77 26 
60 59 0 49 43 74 8 64 63 55 89 39 52 42 24 74 97 34 39 27 68 44 68 81 6 44 98 11 92 28 
38 4 87 0 5 31 21 66 47 36 21 89 28 74 31 52 0 80 86 91 60 6 88 28 39 94 24 89 6 16 
17 96 73 5 0 78 88 15 44 35 4 66 76 32 92 8 36 44 40 74 36 0 32 24 81 71 70 5 60 76 
74 78 72 47 35 0 25 23 34 70 58 38 88 35 22 80 95 58 76 35 84 12 36 16 88 17 87 59 74 0 
87 48 30 12 95 65 0 73 88 13 43 98 4 83 85 26 63 80 37 91 68 21 4 56 38 44 25 77 55 99 
29 95 0 59 7 95 24 0 20 64 51 63 63 7 98 0 34 61 33 71 5 1 44 9 9 82 5 34 12 13 
85 41 8 37 1 15 85 77 0 5 94 56 21 9 64 19 9 98 33 42 21 38 95 65 99 4 0 4 90 12 
17 28 53 77 65 6 92 50 36 0 56 30 2 77 39 66 96 48 16 29 43 89 67 38 6 66 43 6 23 85 
70 40 13 76 18 79 34 62 29 70 0 85 52 14 14 91 32 11 92 48 92 35 37 60 25 43 78 20 2 1 
6 72 94 19 0 64 98 35 26 80 5 0 17 58 52 32 1 84 95 45 84 87 32 21 99 58 17 78 78 71 
31 84 95 25 4 96 41 54 31 20 34 36 0 52 46 11 36 0 47 31 45 32 18 78 5 18 88 22 96 66 
45 27 3 41 5 7 37 46 13 68 66 0 56 0 52 55 88 88 55 35 19 0 67 89 30 73 7 18 47 55 
85 45 35 88 86 92 47 23 38 12 43 57 12 99 0 64 6 22 4 61 9 75 14 29 65 44 54 24 15 53 
80 52 98 67 40 84 59 39 59 97 51 2 6 64 54 0 80 60 14 37 74 76 12 88 5 29 84 59 54 51 
64 34 3 63 53 95 99 12 34 59 9 38 13 16 54 67 0 86 80 23 23 6 99 88 46 56 69 30 67 23 
82 31 9 85 46 62 81 46 74 67 5 36 57 18 4 63 38 0 50 70 35 25 76 86 65 22 42 35 4 9 
58 38 93 20 24 39 82 57 85 9 76 42 45 86 13 1 49 51 0 99 73 1 77 49 87 42 23 82 29 27 
43 88 66 36 60 42 76 42 51 61 3 27 4 0 65 17 1 15 20 0 66 45 68 43 94 55 38 69 89 67 
96 33 55 14 69 67 56 45 62 59 59 65 39 15 66 4 84 67 19 4 0 86 49 2 29 95 10 67 16 99 
35 12 84 42 79 6 10 87 3 72 47 62 89 86 77 7 90 13 75 62 17 0 48 18 64 29 65 26 49 81 
77 84 46 62 78 25 68 40 12 23 64 11 86 54 97 15 61 40 29 88 2 98 0 50 69 18 31 86 44 80 
68 21 64 66 35 95 43 55 87 7 79 52 19 17 58 68 84 71 8 65 12 62 16 0 12 85 32 44 23 76 
76 91 49 93 9 85 88 52 40 75 60 71 79 31 88 37 99 25 61 60 90 73 22 6 0 87 43 71 83 67 
99 59 10 48 52 20 85 40 24 78 68 36 49 47 67 90 37 19 15 98 79 57 71 1 16 0 40 59 81 23 
78 80 83 41 80 87 13 66 80 37 44 48 26 45 47 93 35 36 64 2 34 43 12 57 97 28 0 37 39 0 
13 18 32 96 11 65 35 24 31 15 61 27 63 39 72 63 85 60 99 49 14 34 45 26 43 42 6 0 31 46 
15 44 16 48 92 27 13 28 51 96 43 64 75 59 4 99 22 89 59 21 38 26 7 83 4 3 77 11 0 61 
9 81 57 25 81 50 4 46 30 55 42 25 71 17 36 75 17 10 16 28 84 7 6 91 42 63 46 72 74 0 
